GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID
6117	3	G10	5.67	1	7	2.7863137484522195e-7	1	3	3	100	6117	RPA1	s12129
6117	1	G10	5.42	2	11	2.7863137484522195e-7	1	3	3	100	6117	RPA1	s12127
6117	2	G10	5.27	3	13	2.7863137484522195e-7	1	3	3	100	6117	RPA1	s12128
57697	6	D15	7.26	4	2	5.829825689069226e-6	1	3	3	100	57697	FANCM	s33621
57697	5	D15	4.07	5	20	5.829825689069226e-6	1	3	3	100	57697	FANCM	s33619
57697	4	D15	3.51	6	33	5.829825689069226e-6	1	3	3	100	57697	FANCM	s33620
51514	4	K17	10.51	7	1	8.90353893255411e-6	1	3	3	100	51514	DTL	s226738
51514	5	K17	6.91	8	3	8.90353893255411e-6	1	3	3	100	51514	DTL	s28246
51514	6	K17	3.45	9	39	8.90353893255411e-6	1	3	3	100	51514	DTL	s226739
8914	2	F06	3.04	10	55	3.868786897370129e-5	1	3	3	100	8914	TIMELESS	s17055
8914	1	F06	2.88	11	60	3.868786897370129e-5	1	3	3	100	8914	TIMELESS	s17054
8914	3	F06	2.87	12	63	3.868786897370129e-5	1	3	3	100	8914	TIMELESS	s17053
5435	3	L01	3.45	13	40	1.5280787591992305e-4	1	3	3	100	5435	POLR2F	s10808
5435	2	L01	3.19	14	49	1.5280787591992305e-4	1	3	3	100	5435	POLR2F	s10809
5435	1	L01	2.34	15	99	1.5280787591992305e-4	1	3	3	100	5435	POLR2F	s224297
10036	1	L06	3.56	16	32	2.281036209117499e-4	1	3	3	100	10036	CHAF1A	s19501
10036	2	L06	3.19	17	50	2.281036209117499e-4	1	3	3	100	10036	CHAF1A	s19499
10036	3	L06	2.15	18	112	2.281036209117499e-4	1	3	3	100	10036	CHAF1A	s19500
90381	4	N09	5.29	19	12	2.4692974918975435e-4	1	3	3	100	90381	TICRR	s40362
