plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
4	257	10.51	K17	sample	sample	480.044885845	517.880353009	498.962619427	37.835467164	1.61	1.64	9.608	11.403	51514	DTL	s226738
6	87	7.26	D15	sample	sample	453.739282609	438.098358586	445.9188205975	-15.640924023	1.58	1.41	8.905	5.615	57697	FANCM	s33621
5	257	6.91	K17	sample	sample	431.784054404	459.292829324	445.538441864	27.50877492	1.49	1.46	6.963	6.856	51514	DTL	s28246
2	378	6.25	P18	sample	sample	509.997402778	466.364888889	488.1811458335	-43.632513889	1.73	1.5	7.517	4.98	11144	DMC1	s21975
4	10	6.18	A10	sample	sample	408.283176598	424.00974537	416.146460984	15.726568772	1.37	1.35	6.822	5.535	144455	E2F7	s44663
5	319	5.7	N07	sample	sample	391.998914141	451.719249132	421.8590816365	59.720334991	1.35	1.43	4.656	6.751	84944	MAEL	s39722
5	197	5.67	I05	sample	sample	415.444454106	396.167469291	405.8059616985	-19.276984815	1.43	1.26	7.53	3.814	28992	MACROD1	s26380
3	154	5.67	G10	sample	sample	415.720950081	457.200651882	436.4608009815	41.479701801	1.42	1.45	5.561	5.773	6117	RPA1	s12129
2	365	5.61	P05	sample	sample	439.107710868	469.637438272	454.37257457	30.529727404	1.49	1.52	5.862	5.351	5693	PSMB5	s11355
4	237	5.55	J21	sample	sample	419.799906786	411.984694149	415.8923004675	-7.815212637	1.41	1.31	5.886	5.223	83932	C1orf124	s38329
1	154	5.42	G10	sample	sample	408.925622685	434.048587087	421.487104886	25.122964402	1.37	1.41	4.961	5.879	6117	RPA1	s12127
4	321	5.29	N09	sample	sample	400.564789187	426.398522727	413.481655957	25.83373354	1.34	1.35	5.552	5.029	90381	TICRR	s40362
2	154	5.27	G10	sample	sample	406.642043129	472.491210017	439.566626573	65.849166888	1.38	1.52	4.206	6.341	6117	RPA1	s12128
1	329	4.44	N17	sample	sample	386.51988819	459.958286667	423.2390874285	73.438398477	1.29	1.49	2.963	5.908	5688	PSMA7	s224430
1	111	4.42	E15	sample	sample	396.635982043	400.153063725	398.394522884	3.51708168199997	1.33	1.3	4.439	4.392	983	CDC2	s463
1	319	4.23	N07	sample	sample	416.509618056	455.296067604	435.90284283	38.786449548	1.39	1.47	4.23	4.225	5683	PSMA2	s11332
3	325	4.22	N13	sample	sample	433.732132822	425.22484127	429.478487046	-8.50729155199997	1.48	1.35	4.891	3.547	5686	PSMA5	s11341
4	9	4.21	A09	sample	sample	368.845450794	391.603544372	380.224497583	22.758093578	1.24	1.24	4.373	4.043	11284	PNKP	s22286
1	363	4.11	P03	sample	sample	401.354135802	417.285218069	409.3196769355	15.931082267	1.34	1.35	4.728	3.489	5692	PSMB4	s11352
5	87	4.07	D15	sample	sample	348.994686949	402.808939394	375.9018131715	53.814252445	1.2	1.28	3.207	4.932	57697	FANCM	s33619
3	363	4.01	P03	sample	sample	384.911490066	424.064608918	404.488049492	39.153118852	1.32	1.35	3.936	4.086	5692	PSMB4	s11351
3	319	3.87	N07	sample	sample	418.88793501	426.508141593	422.6980383015	7.62020658300003	1.43	1.35	4.593	3.147	5683	PSMA2	s11330
4	205	3.84	I13	sample	sample	396.60165733	394.253622297	395.4276398135	-2.34803503300003	1.33	1.25	4.004	3.679	29965	CDIP1	s26806
1	321	3.71	N09	sample	sample	416.551653257	412.983690476	414.7676718665	-3.56796278100001	1.39	1.34	4.153	3.26	5684	PSMA3	s11335
5	59	3.69	C11	sample	sample	394.012046887	367.00296477	380.5075058285	-27.009082117	1.36	1.16	5.038	2.351	23476	BRD4	s23903
3	18	3.69	A18	sample	sample	352.911262626	386.957422222	369.934342424	34.046159596	1.21	1.23	3.27	4.116	5713	PSMD7	s11403
4	69	3.68	C21	sample	sample	374.445555556	377.692645503	376.0691005295	3.24708994700001	1.26	1.2	3.538	3.825	23612	PHLDA3	s24200
2	317	3.59	N05	sample	sample	377.172530864	460.114954649	418.6437427565	82.942423785	1.28	1.48	2.739	4.449	5682	PSMA1	s11327
3	156	3.59	G12	sample	sample	383.910325397	403.78450495	393.8474151735	19.874179553	1.31	1.28	3.893	3.292	6118	RPA2	s12131
3	74	3.59	D02	sample	sample	383.584436275	346.780697531	365.182566903	-36.803738744	1.31	1.1	4.817	2.356	8438	RAD54L	s16014
4	309	3.58	M21	sample	sample	361.771000896	340.97996627	351.375483583	-20.791034626	1.21	1.08	3.908	3.254	55031	USP47	s30028
1	270	3.56	L06	sample	sample	390.211350309	378.574257202	384.3928037555	-11.637093107	1.31	1.23	4.091	3.019	10036	CHAF1A	s19501
1	333	3.51	N21	sample	sample	392.201388889	429.432242206	410.8168155475	37.230853317	1.31	1.39	3.509	3.519	5690	PSMB2	s481
4	87	3.51	D15	sample	sample	391.737581699	374.094814416	382.9161980575	-17.642767283	1.31	1.19	4.201	2.823	57697	FANCM	s33620
3	369	3.47	P09	sample	sample	333.656865079	466.405730556	400.0312978175	132.748865477	1.14	1.48	1.548	5.388	5695	PSMB7	s669
1	327	3.46	N15	sample	sample	385.709707925	430.259542773	407.984625349	44.549834848	1.29	1.39	2.926	3.999	5687	PSMA6	s626
1	361	3.46	P01	sample	sample	358.361774194	445.380722222	401.871248208	87.018948028	1.2	1.44	2.253	4.669	5691	PSMB3	s11348
6	194	3.46	I02	sample	sample	371.985663163	378.580831597	375.28324738	6.59516843399996	1.3	1.22	4.797	2.118	378708	APITD1	s51797
6	257	3.45	K17	sample	sample	340.971456456	428.387040441	384.6792484485	87.415583985	1.19	1.38	2.499	4.399	51514	DTL	s226739
3	265	3.45	L01	sample	sample	374.936238785	407.835729167	391.385983976	32.899490382	1.28	1.29	2.582	4.31	5435	POLR2F	s10808
3	212	3.41	I20	sample	sample	370.12593266	372.943473937	371.5347032985	2.81754127700003	1.27	1.18	3.896	2.923	6839	SUV39H1	s13659
2	321	3.39	N09	sample	sample	359.040790378	429.745092593	394.3929414855	70.704302215	1.22	1.39	2.286	4.5	5684	PSMA3	s11334
3	323	3.38	N11	sample	sample	357.734505556	468.124665404	412.92958548	110.390159848	1.22	1.49	1.593	5.165	5685	PSMA4	s230031
6	31	3.36	B07	sample	sample	325.027580164	412.914585921	368.9710830425	87.887005757	1.13	1.33	2.024	4.703	55929	DMAP1	s31790
1	325	3.33	N13	sample	sample	396.387327944	416.652939698	406.520133821	20.265611754	1.33	1.35	3.359	3.305	5686	PSMA5	s11339
1	98	3.31	E02	sample	sample	362.986459987	403.722222222	383.3543411045	40.735762235	1.21	1.31	2.596	4.024	5888	RAD51	s11734
5	45	3.28	B21	sample	sample	334.454885057	361.746910661	348.100897859	27.292025604	1.15	1.15	3.531	3.025	56949	XAB2	s32465
3	67	3.25	C19	sample	sample	360.387120949	396.593068182	378.4900945655	36.205947233	1.23	1.26	3.175	3.33	604	BCL6	s1929
2	265	3.19	L01	sample	sample	390.889064153	414.230388374	402.5597262635	23.341324221	1.33	1.34	2.931	3.458	5435	POLR2F	s10809
2	270	3.19	L06	sample	sample	387.952282463	426.973481801	407.462882132	39.021199338	1.32	1.38	2.551	3.827	10036	CHAF1A	s19499
6	375	3.18	P15	sample	sample	352.300423839	363.801560847	358.050992343	11.501137008	1.23	1.17	3.952	2.412	126074	C19orf39	s42952
1	54	3.11	C06	sample	sample	358.612417417	372.505681004	365.5590492105	13.893263587	1.2	1.21	3.075	3.14	5718	PSMD12	s11417
1	4	3.09	A04	sample	sample	358.911235119	385.732118056	372.3216765875	26.820882937	1.2	1.25	2.972	3.213	5705	PSMC5	s11382
6	321	3.08	N09	sample	sample	341.406595136	404.552078853	372.9793369945	63.145483717	1.19	1.3	2.593	3.558	90381	TICRR	s40363
2	126	3.04	F06	sample	sample	394.62788671	383.157052239	388.8924694745	-11.470834471	1.34	1.24	3.575	2.505	8914	TIMELESS	s17055
3	331	3.03	N19	sample	sample	364.366160275	437.33123706	400.8486986675	72.965076785	1.25	1.39	2.444	3.611	5689	PSMB1	s11346
3	199	2.97	I07	sample	sample	320.820479365	393.737940379	357.279209872	72.917461014	1.1	1.25	1.944	3.989	1642	DDB1	s3981
4	199	2.96	I07	sample	sample	383.57736532	345.845	364.71118266	-37.73236532	1.29	1.1	3.784	2.141	29086	BABAM1	s26452
1	156	2.91	G12	sample	sample	351.873216475	398.207443503	375.040329989	46.334227028	1.18	1.29	1.868	3.959	6118	RPA2	s12132
3	267	2.88	L03	sample	sample	366.655597484	378.62175	372.638673742	11.966152516	1.25	1.2	2.662	3.098	5436	POLR2G	s10811
1	126	2.88	F06	sample	sample	359.54481746	380.017100863	369.7809591615	20.472283403	1.2	1.23	2.555	3.203	8914	TIMELESS	s17054
1	296	2.88	M08	sample	sample	353.12237037	407.585679934	380.354025152	54.463309564	1.18	1.32	1.805	3.951	7311	UBA52	s14556
3	126	2.87	F06	sample	sample	349.484055556	365.674219444	357.5791375	16.190163888	1.2	1.16	2.717	3.024	8914	TIMELESS	s17053
1	273	2.82	L09	sample	sample	365.729656566	369.996732881	367.8631947235	4.267076315	1.22	1.2	2.843	2.796	5439	POLR2J	s10821
3	300	2.8	M12	sample	sample	386.809583333	361.50102904	374.1553061865	-25.308554293	1.32	1.15	3.917	1.675	7316	UBC	s14560
4	341	2.79	O05	sample	sample	323.189772928	422.999093567	373.0944332475	99.809320639	1.08	1.34	0.878	4.696	55159	RFWD3	s30311
3	296	2.78	M08	sample	sample	361.061868687	361.35230473	361.2070867085	0.290436043	1.24	1.15	3.167	2.403	7311	UBA52	s14558
5	100	2.77	E04	sample	sample	358.964330986	388.598421935	373.7813764605	29.634090949	1.24	1.23	2.467	3.071	204851	HIPK1	s47548
3	178	2.75	H10	sample	sample	356.38804437	372.658339405	364.5231918875	16.270295035	1.22	1.18	3.139	2.363	9401	RECQL4	s17991
1	365	2.74	P05	sample	sample	353.217468434	417.996686508	385.607077471	64.779218074	1.18	1.35	2.019	3.462	5693	PSMB5	s11354
1	199	2.74	I07	sample	sample	362.85168742	380.842968653	371.8473280365	17.991281233	1.21	1.23	3.004	2.472	1642	DDB1	s3980
1	379	2.7	P19	sample	sample	363.813811111	385.65045207	374.7321315905	21.836640959	1.22	1.25	2.536	2.857	5701	PSMC2	s11371
6	51	2.69	C03	sample	sample	335.915536265	373.342501715	354.62901899	37.42696545	1.17	1.2	2.413	2.965	23198	PSME4	s23263
1	233	2.68	J17	sample	sample	341.072035751	362.996097786	352.0340667685	21.924062035	1.14	1.18	2.106	3.252	5432	POLR2C	s10799
6	357	2.68	O21	sample	sample	340.938611111	390.229243902	365.5839275065	49.290632791	1.19	1.26	3.14	2.214	55544	RBM38	s30963
5	110	2.66	E14	sample	sample	341.635958995	382.504501106	362.0702300505	40.868542111	1.18	1.21	2.424	2.887	252983	STXBP4	s48385
2	327	2.63	N15	sample	sample	368.401944444	468.238946541	418.3204454925	99.837002097	1.25	1.51	1.232	4.023	5687	PSMA6	s627
3	342	2.62	O06	sample	sample	307.031405039	397.619444444	352.3254247415	90.588039405	1.05	1.26	1.48	3.764	7398	USP1	s14723
5	341	2.59	O05	sample	sample	330.002211674	350.804179293	340.4031954835	20.801967619	1.14	1.11	3.03	2.148	55159	RFWD3	s30310
3	294	2.58	M06	sample	sample	342.912508961	359.3552207	351.1338648305	16.442711739	1.17	1.14	2.617	2.546	7291	TWIST1	s14524
3	2	2.53	A02	sample	sample	321.956266667	352.291230159	337.123748413	30.334963492	1.1	1.12	2.636	2.43	5704	PSMC4	s11378
1	294	2.48	M06	sample	sample	365.37485228	357.401555919	361.3882040995	-7.97329636100005	1.22	1.16	2.879	2.087	7291	TWIST1	s14523
5	155	2.48	G11	sample	sample	350.127689621	374.252485316	362.1900874685	24.124795695	1.21	1.19	2.301	2.664	27301	APEX2	s26119
5	29	2.48	B05	sample	sample	309.121626367	358.064878293	333.59325233	48.943251926	1.06	1.14	2.357	2.594	55775	TDP1	s31480
3	81	2.47	D09	sample	sample	333.877240968	390.5666344	362.221937684	56.689393432	1.14	1.24	1.536	3.412	4350	MPG	s8930
4	313	2.47	N01	sample	sample	344.805410312	369.889865035	357.3476376735	25.084454723	1.16	1.17	2.703	2.246	84893	FBXO18	s39594
1	160	2.47	G16	sample	sample	349.520718954	348.196827485	348.8587732195	-1.32389146900005	1.17	1.13	2.594	2.341	6188	RPS3	s12256
4	109	2.45	E13	sample	sample	372.567134065	371.622298103	372.094716084	-0.944835962000013	1.25	1.18	2.628	2.271	25988	HINFP	s24883
4	361	2.45	P01	sample	sample	324.133349102	359.6600871	341.896718101	35.526737998	1.09	1.14	2.587	2.303	112399	EGLN3	s41321
6	22	2.43	A22	sample	sample	318.387116343	368.10875562	343.2479359815	49.721639277	1.11	1.19	1.764	3.103	151987	PPP4R2	s45636
6	98	2.42	E02	sample	sample	329.003235294	362.441017804	345.722126549	33.43778251	1.15	1.17	2.848	1.984	201973	CCDC111	s47416
5	208	2.4	I16	sample	sample	356.029826389	373.558264192	364.7940452905	17.528437803	1.23	1.19	3.062	1.744	100526739	NA	n455579
4	60	2.4	C12	sample	sample	410.14141086	394.164250246	402.152830553	-15.977160614	1.37	1.25	3.117	1.686	199990	C1orf86	s47165
3	10	2.4	A10	sample	sample	329.229427321	378.758278509	353.993852915	49.528851188	1.13	1.2	2.243	2.555	5708	PSMD2	s11389
5	199	2.39	I07	sample	sample	326.517095486	371.434378746	348.975737116	44.91728326	1.12	1.18	1.649	3.139	29086	BABAM1	s26450
1	369	2.39	P09	sample	sample	325.684532601	406.02670398	365.8556182905	80.342171379	1.09	1.32	1.103	3.672	5695	PSMB7	s668
3	200	2.37	I08	sample	sample	327.784411488	339.863333333	333.8238724105	12.078921845	1.12	1.08	2.619	2.112	6596	HLTF	s13136
2	61	2.36	C13	sample	sample	343.764007048	353.743302696	348.753654872	9.979295648	1.17	1.14	2.289	2.435	598	BCL2L1	s1922
1	265	2.34	L01	sample	sample	350.692831611	387.458345818	369.0755887145	36.765514207	1.17	1.25	1.844	2.828	5435	POLR2F	s224297
5	156	2.33	G12	sample	sample	337.009665145	334.943508454	335.9765867995	-2.066156691	1.16	1.06	2.783	1.886	286257	C9orf142	s196003
6	83	2.33	D11	sample	sample	327.617498413	380.149452325	353.883475369	52.531953912	1.14	1.23	1.948	2.716	57654	KIAA1530	s226925
3	379	2.3	P19	sample	sample	318.425843254	421.967515873	370.1966795635	103.541672619	1.09	1.34	1.197	3.396	5701	PSMC2	s11372
4	305	2.29	M17	sample	sample	320.560138889	317.106960784	318.8335498365	-3.45317810499995	1.07	1.01	2.491	2.088	54962	TIPIN	s29863
