GeneID	GeneSymbol	median_z_score
10459	MAD2L2	2.72
666	BOK	2.33
5985	RFC5	1.96
9768	KIAA0101	1.85
340533	KIAA2022	1.82
54891	INO80D	1.8
581	BAX	1.76
54840	APTX	1.74
1407	CRY1	1.69
5594	MAPK1	1.67
545	ATR	1.66
55183	RIF1	1.64
10721	POLQ	1.62
51065	RPS27L	1.57
10111	RAD50	1.55
546	ATRX	1.54
5716	PSMD10	1.54
5890	RAD51L1	1.54
51246	SHISA5	1.5
2071	ERCC3	1.49
2072	ERCC4	1.47
23137	SMC5	1.46
200933	FBXO45	1.43
2067	ERCC1	1.41
10519	CIB1	1.38
1069	CETN2	1.38
55294	FBXW7	1.37
83666	PARP9	1.37
10432	RBM14	1.36
5699	PSMB10	1.34
1106	CHD2	1.32
197370	NSMCE1	1.32
10017	BCL2L10	1.3
10887	PROKR1	1.3
57060	PCBP4	1.26
64789	EXO5	1.24
56897	WRNIP1	1.23
5983	RFC3	1.23
6917	TCEA1	1.22
572	BAD	1.21
9891	NUAK1	1.21
5378	PMS1	1.19
91419	XRCC6BP1	1.19
472	ATM	1.18
254394	MCM9	1.17
91603	ZNF830	1.16
26122	EPC2	1.15
5698	PSMB9	1.15
10038	PARP2	1.14
23054	NCOA6	1.13
5884	RAD17	1.13
84930	MASTL	1.13
7374	UNG	1.11
331	XIAP	1.07
143	PARP4	1.06
51347	TAOK3	1.06
6446	SGK1	1.05
7314	UBB	1.05
11186	RASSF1	1.03
602	BCL3	1.02
84083	ZRANB3	1
10413	YAP1	0.99
121642	ALKBH2	0.99
2956	MSH6	0.99
92815	HIST3H2A	0.99
2187	FANCB	0.95
10600	USP16	0.94
11144	DMC1	0.94
91442	C19orf40	0.94
596	BCL2	0.93
400410	ST20	0.92
84690	SPATA22	0.92
10535	RNASEH2A	0.91
122706	PSMB11	0.91
8924	HERC2	0.9
5711	PSMD5	0.89
51455	REV1	0.88
6419	SETMAR	0.88
25836	NIPBL	0.87
389643	C8orf80	0.87
4255	MGMT	0.87
4968	OGG1	0.87
9774	BCLAF1	0.85
5982	RFC2	0.83
7178	TPT1	0.83
5423	POLB	0.82
604	BCL6	0.81
7317	UBA1	0.81
4438	MSH4	0.8
63979	FIGNL1	0.8
140733	MACROD2	0.79
1859	DYRK1A	0.79
322	APBB1	0.79
3622	ING2	0.79
5379	PMS2L1	0.79
5441	POLR2L	0.79
1196	CLK2	0.76
7157	TP53	0.76
9491	PSMF1	0.76
9984	THOC1	0.76
902	CCNH	0.75
23300	ATMIN	0.73
83695	C12orf32	0.73
2237	FEN1	0.72
55339	WDR33	0.71
8870	IER3	0.71
10210	TOPORS	0.7
80854	SETD7	0.7
9874	TLK1	0.7
26058	GIGYF2	0.68
10197	PSME3	0.67
