GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID	Flag
10721	2	P06	3.36	1	3	3.409824517336635e-8	1	3	3	100	10721	POLQ	s21060	TRUE
10721	3	P06	3.08	2	5	3.409824517336635e-8	1	3	3	100	10721	POLQ	s21059	TRUE
10721	1	P06	3.03	3	7	3.409824517336635e-8	1	3	3	100	10721	POLQ	s21061	TRUE
596	3	C09	2.81	4	10	2.414077819428212e-4	1	2	3	67	596	BCL2	s1915	TRUE
596	1	C09	2.56	5	17	2.414077819428212e-4	1	2	3	67	596	BCL2	s224526	TRUE
324	1	A09	2.59	9	16	4.886609773439332e-4	1	2	3	67	324	APC	s1435	TRUE
324	3	A09	2.34	10	24	4.886609773439332e-4	1	2	3	67	324	APC	s1434	TRUE
23137	4	C01	2.79	11	13	7.684770226500361e-4	1	3	3	100	23137	SMC5	s23115	TRUE
23137	6	C01	2.27	12	30	7.684770226500361e-4	1	3	3	100	23137	SMC5	s23117	TRUE
10309	1	N02	3.06	13	6	9.157122710730536e-4	1	3	3	100	10309	CCNO	s20154	TRUE
10309	3	N02	1.91	14	72	9.157122710730536e-4	1	3	3	100	10309	CCNO	s223106	TRUE
10309	2	N02	1.33	15	179	9.157122710730536e-4	1	3	3	100	10309	CCNO	s223105	TRUE
55183	5	O07	2.37	16	21	0.00111368278560731	1	3	3	100	55183	RIF1	s30376	TRUE
55183	4	O07	1.98	17	63	0.00111368278560731	1	3	3	100	55183	RIF1	s30377	TRUE
55183	6	O07	1.29	18	190	0.00111368278560731	1	3	3	100	55183	RIF1	s30378	TRUE
572	1	C01	1.82	22	86	0.0013784556593784989	1	3	3	100	572	BAD	s1861	TRUE
572	2	C01	1.58	23	126	0.0013784556593784989	1	3	3	100	572	BAD	s1862	TRUE
572	3	C01	1.24	24	204	0.0013784556593784989	1	3	3	100	572	BAD	s1863	TRUE
10887	2	P08	3.09	25	4	0.0014427649497754666	1	3	3	100	10887	PROKR1	s21384	TRUE
10887	1	P08	2.18	26	38	0.0014427649497754666	1	3	3	100	10887	PROKR1	s21385	TRUE
57646	6	D09	2.07	27	50	0.0015470724559963724	1	3	3	100	57646	USP28	s33508	TRUE
57646	4	D09	1.72	28	101	0.0015470724559963724	1	3	3	100	57646	USP28	s33509	TRUE
57646	5	D09	1.22	29	211	0.0015470724559963724	1	3	3	100	57646	USP28	s33510	TRUE
4438	2	D17	1.72	30	102	0.0021889504882023087	1	3	3	100	4438	MSH4	s8973	TRUE
4438	1	D17	1.67	31	113	0.0021889504882023087	1	3	3	100	4438	MSH4	s8974	TRUE
