GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID
10721	2	P06	3.36	1	3	3.409824517336635e-8	1	3	3	100	10721	POLQ	s21060
10721	3	P06	3.08	2	5	3.409824517336635e-8	1	3	3	100	10721	POLQ	s21059
10721	1	P06	3.03	3	7	3.409824517336635e-8	1	3	3	100	10721	POLQ	s21061
596	3	C09	2.81	4	10	2.414077819428212e-4	1	2	3	67	596	BCL2	s1915
596	1	C09	2.56	5	17	2.414077819428212e-4	1	2	3	67	596	BCL2	s224526
10635	1	P02	1.53	6	133	4.747878627362563e-4	1	3	3	100	10635	RAD51AP1	s20901
10635	3	P02	1.46	7	142	4.747878627362563e-4	1	3	3	100	10635	RAD51AP1	s20900
10635	2	P02	1.45	8	143	4.747878627362563e-4	1	3	3	100	10635	RAD51AP1	s20899
324	1	A09	2.59	9	16	4.886609773439332e-4	1	2	3	67	324	APC	s1435
324	3	A09	2.34	10	24	4.886609773439332e-4	1	2	3	67	324	APC	s1434
23137	4	C01	2.79	11	13	7.684770226500361e-4	1	3	3	100	23137	SMC5	s23115
23137	6	C01	2.27	12	30	7.684770226500361e-4	1	3	3	100	23137	SMC5	s23117
10309	1	N02	3.06	13	6	9.157122710730536e-4	1	3	3	100	10309	CCNO	s20154
10309	3	N02	1.91	14	72	9.157122710730536e-4	1	3	3	100	10309	CCNO	s223106
10309	2	N02	1.33	15	179	9.157122710730536e-4	1	3	3	100	10309	CCNO	s223105
55183	5	O07	2.37	16	21	0.00111368278560731	1	3	3	100	55183	RIF1	s30376
55183	4	O07	1.98	17	63	0.00111368278560731	1	3	3	100	55183	RIF1	s30377
55183	6	O07	1.29	18	190	0.00111368278560731	1	3	3	100	55183	RIF1	s30378
25896	4	E09	1.54	19	132	0.0012989482939899713	1	3	3	100	25896	INTS7	s24699
25896	6	E09	1.35	20	169	0.0012989482939899713	1	3	3	100	25896	INTS7	s24697
25896	5	E09	1.25	21	201	0.0012989482939899713	1	3	3	100	25896	INTS7	s226049
572	1	C01	1.82	22	86	0.0013784556593784989	1	3	3	100	572	BAD	s1861
572	2	C01	1.58	23	126	0.0013784556593784989	1	3	3	100	572	BAD	s1862
572	3	C01	1.24	24	204	0.0013784556593784989	1	3	3	100	572	BAD	s1863
10887	2	P08	3.09	25	4	0.0014427649497754666	1	3	3	100	10887	PROKR1	s21384
10887	1	P08	2.18	26	38	0.0014427649497754666	1	3	3	100	10887	PROKR1	s21385
57646	6	D09	2.07	27	50	0.0015470724559963724	1	3	3	100	57646	USP28	s33508
57646	4	D09	1.72	28	101	0.0015470724559963724	1	3	3	100	57646	USP28	s33509
57646	5	D09	1.22	29	211	0.0015470724559963724	1	3	3	100	57646	USP28	s33510
4438	2	D17	1.72	30	102	0.0021889504882023087	1	3	3	100	4438	MSH4	s8973
4438	1	D17	1.67	31	113	0.0021889504882023087	1	3	3	100	4438	MSH4	s8974
4438	3	D17	1.14	32	238	0.0021889504882023087	1	3	3	100	4438	MSH4	s8972
26574	4	E21	3.57	33	2	0.0032697528231068	1	1	3	33	26574	AATF	s25539
10519	1	N16	1.8	34	88	0.003878689027768471	1	3	3	100	10519	CIB1	s20617
10519	3	N16	1.23	35	206	0.003878689027768471	1	3	3	100	10519	CIB1	s20618
10519	2	N16	1.04	36	288	0.003878689027768471	1	3	3	100	10519	CIB1	s20616
1017	3	E17	1.13	37	246	0.004168442275953662	1	3	3	100	1017	CDK2	s206
1017	2	E17	1.09	38	259	0.004168442275953662	1	3	3	100	1017	CDK2	s205
1017	1	E17	1.04	39	289	0.004168442275953662	1	3	3	100	1017	CDK2	s204
10413	3	N06	2.35	40	23	0.00444574089653039	1	3	3	100	10413	YAP1	s20368
10413	1	N06	1.91	41	73	0.00444574089653039	1	3	3	100	10413	YAP1	s20366
23581	6	C17	2.1	42	46	0.004694435960584548	1	2	3	67	23581	CASP14	s24129
23581	4	C17	1.9	43	74	0.004694435960584548	1	2	3	67	23581	CASP14	s24128
56897	4	B17	3.71	44	1	0.0048212483086198755	1	3	3	100	56897	WRNIP1	s32338
56897	6	B17	1.89	45	75	0.0048212483086198755	1	3	3	100	56897	WRNIP1	s32337
132671	5	P19	1.92	46	71	0.006214391543547905	1	3	3	100	132671	SPATA18	s43715
132671	6	P19	1.64	47	118	0.006214391543547905	1	3	3	100	132671	SPATA18	s43716
132671	4	P19	0.93	48	338	0.006214391543547905	1	3	3	100	132671	SPATA18	s43717
23626	5	E01	1.57	49	127	0.00643831374536583	1	3	3	100	23626	SPO11	s24230
23626	4	E01	1.39	50	157	0.00643831374536583	1	3	3	100	23626	SPO11	s24231
23626	6	E01	0.92	51	342	0.00643831374536583	1	3	3	100	23626	SPO11	s24229
3978	2	B01	2.3	52	28	0.006767998961355764	1	3	3	100	3978	LIG1	s8175
3978	1	B01	1.8	53	89	0.006767998961355764	1	3	3	100	3978	LIG1	s8174
64789	6	F17	2.25	54	31	0.007072044245446484	1	3	3	100	64789	EXO5	s34953
64789	5	F17	1.78	55	91	0.007072044245446484	1	3	3	100	64789	EXO5	s34954
7178	2	M04	2.45	56	20	0.007387780356453779	1	3	3	100	7178	TPT1	s14358
7178	1	M04	1.1	57	254	0.007387780356453779	1	3	3	100	7178	TPT1	s14360
7178	3	M04	0.89	58	357	0.007387780356453779	1	3	3	100	7178	TPT1	s14359
10535	1	N18	1.95	59	65	0.0076389032155642885	1	3	3	100	10535	RNASEH2A	s20658
10535	2	N18	0.96	60	325	0.0076389032155642885	1	3	3	100	10535	RNASEH2A	s20657
10535	3	N18	0.89	61	358	0.0076389032155642885	1	3	3	100	10535	RNASEH2A	s20656
10432	1	N08	2.1	62	47	0.008909647389618015	1	3	3	100	10432	RBM14	s20408
10432	3	N08	1.55	63	129	0.008909647389618015	1	3	3	100	10432	RBM14	s20407
10432	2	N08	0.84	64	382	0.008909647389618015	1	3	3	100	10432	RBM14	s20406
4170	1	B09	1.55	65	130	0.009338384110894252	1	3	3	100	4170	MCL1	s8584
4170	2	B09	1.1	66	255	0.009338384110894252	1	3	3	100	4170	MCL1	s8585
4170	3	B09	0.83	67	385	0.009338384110894252	1	3	3	100	4170	MCL1	s8583
545	3	A17	2.24	68	33	0.009556510585268293	1	2	3	67	545	ATR	s536
545	2	A17	1.71	69	106	0.009556510585268293	1	2	3	67	545	ATR	s535
11011	1	P12	1.74	70	96	0.00973485609835191	1	2	3	67	11011	TLK2	s223175
11011	2	P12	1.71	71	107	0.00973485609835191	1	2	3	67	11011	TLK2	s21679
55602	5	B01	1.88	72	77	0.009914779873069263	1	2	3	67	55602	CDKN2AIP	s31051
55602	4	B01	1.7	73	108	0.009914779873069263	1	2	3	67	55602	CDKN2AIP	s31052
5663	1	N03	2.82	74	9	0.01009627996094922	1	3	3	100	5663	PSEN1	s111
5663	3	N03	1.7	75	109	0.01009627996094922	1	3	3	100	5663	PSEN1	s113
10038	3	L08	1.74	76	97	0.010464001282312263	1	3	3	100	10038	PARP2	s19503
10038	2	L08	1.68	77	111	0.010464001282312263	1	3	3	100	10038	PARP2	s19504
10210	1	L20	1.22	78	212	0.010706663879677456	1	3	3	100	10210	TOPORS	s19912
10210	2	L20	0.79	79	401	0.010706663879677456	1	3	3	100	10210	TOPORS	s19911
10210	3	L20	0.79	80	402	0.010706663879677456	1	3	3	100	10210	TOPORS	s19910
22925	4	A13	1.36	81	165	0.011109130338636579	1	3	3	100	22925	PLA2R1	s22685
