plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
4	41	3.71	B17	sample	sample	412	580	496	168	1.81	2.07	3.519	3.904	56897	WRNIP1	s32338
4	117	3.57	E21	sample	sample	347	437	392	90	1.53	1.56	3.759	3.382	26574	AATF	s25539
2	366	3.36	P06	sample	sample	424	403	413.5	-21	1.96	1.61	3.345	3.379	10721	POLQ	s21060
2	368	3.09	P08	sample	sample	426	367	396.5	-59	1.97	1.46	3.871	2.301	10887	PROKR1	s21384
3	366	3.08	P06	sample	sample	454	332	393	-122	2.32	1.42	4.188	1.965	10721	POLQ	s21059
1	314	3.06	N02	sample	sample	389	406	397.5	17	1.8	1.43	3.189	2.931	10309	CCNO	s20154
1	366	3.03	P06	sample	sample	347	467	407	120	1.6	1.64	1.994	4.072	10721	POLQ	s21061
2	364	2.94	P04	sample	sample	378	436	407	58	1.75	1.74	2.522	3.368	10714	POLD3	s21045
1	315	2.82	N03	sample	sample	284	489	386.5	205	1.31	1.72	1.951	3.692	5663	PSEN1	s111
3	57	2.81	C09	sample	sample	352	443	397.5	91	1.8	1.89	2.771	2.848	596	BCL2	s1915
4	3	2.8	A03	sample	sample	376	324	350	-52	1.66	1.16	4.807	0.801	11219	TREX2	s195093
1	376	2.8	P16	sample	sample	368	516	442	148	1.7	1.82	2.15	3.441	11073	TOPBP1	s21825
4	49	2.79	C01	sample	sample	424	403	413.5	-21	1.87	1.44	3.209	2.38	23137	SMC5	s23115
2	81	2.78	D09	sample	sample	411	542	476.5	131	1.9	2.16	2.501	3.055	4350	MPG	s8929
4	17	2.68	A17	sample	sample	356	393	374.5	37	1.57	1.4	2.968	2.388	22976	PAXIP1	s22748
1	9	2.59	A09	sample	sample	337	610	473.5	273	1.56	2.15	2.111	3.063	324	APC	s1435
1	57	2.56	C09	sample	sample	418	482	450	64	1.93	1.7	3.105	2.01	596	BCL2	s224526
5	9	2.53	A09	sample	sample	372	422	397	50	1.58	1.47	2.854	2.215	11284	PNKP	s22287
6	196	2.47	I04	sample	sample	333	374	353.5	41	1.29	1.28	2.075	2.86	389643	C8orf80	s52516
2	292	2.45	M04	sample	sample	351	382	366.5	31	1.62	1.52	2.424	2.479	7178	TPT1	s14358
5	343	2.37	O07	sample	sample	309	530	419.5	221	1.31	1.84	1.511	3.22	55183	RIF1	s30376
6	359	2.36	O23	neg	neg	360	466	413	106	1.39	1.59	1.773	2.941	NA	NA	NA
3	318	2.35	N06	sample	sample	283	313	298	30	1.45	1.34	2.612	2.081	10413	YAP1	s20368
3	9	2.34	A09	sample	sample	348	371	359.5	23	1.78	1.59	2.733	1.949	324	APC	s1434
4	213	2.34	I21	sample	sample	333	350	341.5	17	1.47	1.25	3.458	1.216	51246	SHISA5	s27749
3	238	2.32	J22	sample	sample	292	474	383	182	1.49	2.03	1.883	2.752	9984	THOC1	s19396
2	129	2.31	F09	sample	sample	352	532	442	180	1.63	2.12	1.602	3.016	4750	NEK1	s224107
2	25	2.3	B01	sample	sample	444	386	415	-58	2.06	1.54	2.485	2.109	3978	LIG1	s8175
4	315	2.29	N03	sample	sample	283	411	347	128	1.25	1.47	2.767	1.815	84930	MASTL	s39685
6	49	2.27	C01	sample	sample	392	407	399.5	15	1.51	1.39	2.619	1.926	23137	SMC5	s23117
6	137	2.25	F17	sample	sample	397	429	413	32	1.53	1.47	2.648	1.85	64789	EXO5	s34953
4	103	2.25	E07	sample	sample	349	349	349	0	1.54	1.25	2.987	1.505	25836	NIPBL	s24587
3	17	2.24	A17	sample	sample	387	427	407	40	1.98	1.82	2.634	1.845	545	ATR	s536
4	323	2.24	N11	sample	sample	296	361	328.5	65	1.3	1.29	2.836	1.641	91419	XRCC6BP1	s40653
5	149	2.22	G05	sample	sample	314	456	385	142	1.34	1.58	2.179	2.264	27113	BBC3	s25840
4	215	2.21	I23	neg	neg	285	426	355.5	141	1.26	1.52	1.988	2.436	NA	NA	NA
2	363	2.2	P03	sample	sample	443	276	359.5	-167	2.05	1.1	3.414	0.979	5692	PSMB4	s11353
1	375	2.18	P15	sample	sample	314	490	402	176	1.45	1.73	1.156	3.213	5699	PSMB10	s194721
4	299	2.18	M11	sample	sample	321	431	376	110	1.41	1.54	1.343	3.021	54840	APTX	s29560
6	115	2.18	E19	sample	sample	339	510	424.5	171	1.31	1.74	0.968	3.391	26270	FBXO6	s25338
1	368	2.18	P08	sample	sample	362	344	353	-18	1.67	1.21	2.496	1.859	10887	PROKR1	s21385
1	332	2.17	N20	sample	sample	347	438	392.5	91	1.6	1.54	2.066	2.284	10538	BATF	s20667
4	263	2.16	K23	neg	neg	311	478	394.5	167	1.37	1.71	1.641	2.674	NA	NA	NA
2	78	2.13	D06	sample	sample	361	333	347	-28	1.67	1.33	2.229	2.025	8450	CUL4B	s16044
4	57	2.12	C09	sample	sample	323	417	370	94	1.42	1.49	1.295	2.936	23411	SIRT1	s223591
1	320	2.1	N08	sample	sample	275	370	322.5	95	1.27	1.3	2.038	2.17	10432	RBM14	s20408
6	65	2.1	C17	sample	sample	335	424	379.5	89	1.29	1.45	1.784	2.423	23581	CASP14	s24129
5	359	2.1	O23	neg	neg	377	405	391	28	1.6	1.41	2.85	1.352	NA	NA	NA
3	21	2.08	A21	sample	sample	412	363	387.5	-49	2.11	1.55	3.047	1.119	571	BACH1	s1858
2	222	2.07	J06	sample	sample	271	420	345.5	149	1.25	1.67	1.146	3.004	9774	BCLAF1	s18875
6	81	2.07	D09	sample	sample	422	528	475	106	1.63	1.81	1.016	3.133	57646	USP28	s33508
4	12	2.07	A12	sample	sample	228	380	304	152	1	1.36	1.378	2.761	144715	RAD9B	s44687
4	319	2.06	N07	sample	sample	332	437	384.5	105	1.46	1.56	2.384	1.741	84944	MAEL	s39723
4	33	2.06	B09	sample	sample	458	388	423	-70	2.02	1.39	3.171	0.952	56154	TEX15	s32014
1	66	2.06	C18	sample	sample	322	458	390	136	1.49	1.61	1.793	2.329	5884	RAD17	s11723
