GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID
572	1	C01	2.32	1	34	4.458101997523517e-5	1	3	3	100	572	BAD	s1861
572	3	C01	2.07	2	57	4.458101997523517e-5	1	3	3	100	572	BAD	s1863
572	2	C01	1.99	3	64	4.458101997523517e-5	1	3	3	100	572	BAD	s1862
545	3	A17	2.68	4	17	3.368906623128573e-4	1	2	3	67	545	ATR	s536
545	2	A17	2.59	5	20	3.368906623128573e-4	1	2	3	67	545	ATR	s535
23137	6	C01	3.25	6	5	3.906635949512557e-4	1	3	3	100	23137	SMC5	s23117
23137	4	C01	1.75	7	104	3.906635949512557e-4	1	3	3	100	23137	SMC5	s23115
23137	5	C01	1.62	8	135	3.906635949512557e-4	1	3	3	100	23137	SMC5	s23116
57646	4	D09	2.34	9	32	3.994755557396298e-4	1	3	3	100	57646	USP28	s33509
57646	6	D09	1.69	10	121	3.994755557396298e-4	1	3	3	100	57646	USP28	s33508
57646	5	D09	1.62	11	136	3.994755557396298e-4	1	3	3	100	57646	USP28	s33510
9891	3	J12	1.94	12	70	4.455276714352011e-4	1	3	3	100	9891	NUAK1	s90
9891	1	J12	1.62	13	137	4.455276714352011e-4	1	3	3	100	9891	NUAK1	s88
9891	2	J12	1.61	14	139	4.455276714352011e-4	1	3	3	100	9891	NUAK1	s89
10721	2	P06	2.74	15	13	0.0010114708601112051	1	3	3	100	10721	POLQ	s21060
10721	3	P06	2.22	16	43	0.0010114708601112051	1	3	3	100	10721	POLQ	s21059
10721	1	P06	1.42	17	185	0.0010114708601112051	1	3	3	100	10721	POLQ	s21061
3978	2	B01	2.42	19	25	0.001304729407900223	1	2	3	67	3978	LIG1	s8175
3978	1	B01	2.26	20	39	0.001304729407900223	1	2	3	67	3978	LIG1	s8174
56897	6	B17	2.33	22	33	0.0016626148468841108	1	3	3	100	56897	WRNIP1	s32337
56897	4	B17	2.21	23	44	0.0016626148468841108	1	3	3	100	56897	WRNIP1	s32338
10887	2	P08	2.12	24	54	0.0018992488745026629	1	3	3	100	10887	PROKR1	s21384
10887	3	P08	1.32	25	215	0.0018992488745026629	1	3	3	100	10887	PROKR1	s21386
10887	1	P08	1.27	26	228	0.0018992488745026629	1	3	3	100	10887	PROKR1	s21385
55183	4	O07	1.94	28	71	0.0028210160196829245	1	3	3	100	55183	RIF1	s30377
55183	5	O07	1.6	29	143	0.0028210160196829245	1	3	3	100	55183	RIF1	s30376
55183	6	O07	1.19	30	258	0.0028210160196829245	1	3	3	100	55183	RIF1	s30378
324	1	A09	2.72	31	15	0.004569266173731002	1	2	3	67	324	APC	s1435
324	3	A09	1.94	32	72	0.004569266173731002	1	2	3	67	324	APC	s1434
8924	1	F08	1.14	33	272	0.0046981107771786644	1	3	3	100	8924	HERC2	s17063
8924	3	F08	1.11	34	281	0.0046981107771786644	1	3	3	100	8924	HERC2	s17062
8924	2	F08	1.03	35	308	0.0046981107771786644	1	3	3	100	8924	HERC2	s17064
51455	4	K11	1.6	36	144	0.005270848284764358	1	3	3	100	51455	REV1	s28167
51455	5	K11	1.28	37	225	0.005270848284764358	1	3	3	100	51455	REV1	s28165
51455	6	K11	1	38	319	0.005270848284764358	1	3	3	100	51455	REV1	s28166
10432	1	N08	2.37	39	30	0.005344884343155918	1	3	3	100	10432	RBM14	s20408
10432	3	N08	1.9	40	78	0.005344884343155918	1	3	3	100	10432	RBM14	s20407
546	3	A19	1.88	41	83	0.0053706100077858575	1	3	3	100	546	ATRX	s1824
546	2	A19	1.29	42	223	0.0053706100077858575	1	3	3	100	546	ATRX	s1825
546	1	A19	1	43	320	0.0053706100077858575	1	3	3	100	546	ATRX	s1826
54840	5	M11	2	45	63	0.005616507067264647	1	2	3	67	54840	APTX	s29559
54840	4	M11	1.89	46	81	0.005616507067264647	1	2	3	67	54840	APTX	s29560
4438	2	D17	3.08	47	7	0.006618395346246565	1	3	3	100	4438	MSH4	s8973
4438	3	D17	1.86	48	88	0.006618395346246565	1	3	3	100	4438	MSH4	s8972
5711	2	A16	1.4	49	192	0.006784182962750622	1	3	3	100	5711	PSMD5	s11399
5711	1	A16	1.3	50	218	0.006784182962750622	1	3	3	100	5711	PSMD5	s11400
5711	3	A16	0.96	51	345	0.006784182962750622	1	3	3	100	5711	PSMD5	s11398
596	3	C09	2.73	52	14	0.007072044245446484	1	2	3	67	596	BCL2	s1915
596	1	C09	1.85	53	90	0.007072044245446484	1	2	3	67	596	BCL2	s224526
9774	1	J06	2.69	54	16	0.008352446991004453	1	3	3	100	9774	BCLAF1	s18874
9774	2	J06	1.78	55	98	0.008352446991004453	1	3	3	100	9774	BCLAF1	s18875
10309	3	N02	1.43	56	182	0.00905106840012117	1	3	3	100	10309	CCNO	s223106
10309	2	N02	1.12	57	276	0.00905106840012117	1	3	3	100	10309	CCNO	s223105
10309	1	N02	0.89	58	383	0.00905106840012117	1	3	3	100	10309	CCNO	s20154
10038	3	L08	2.08	59	55	0.00973485609835191	1	3	3	100	10038	PARP2	s19503
10038	2	L08	1.74	60	106	0.00973485609835191	1	3	3	100	10038	PARP2	s19504
27113	5	G05	3.11	61	6	0.009787860359120448	1	1	3	33	27113	BBC3	s25840
10413	1	N06	1.85	63	91	0.010548439253952853	1	3	3	100	10413	YAP1	s20366
10413	3	N06	1.2	64	251	0.010548439253952853	1	3	3	100	10413	YAP1	s20368
10413	2	N06	0.85	65	401	0.010548439253952853	1	3	3	100	10413	YAP1	s20367
5427	1	J07	2.17	66	46	0.011027356901297377	1	2	3	67	5427	POLE2	s10785
5427	3	J07	1.71	67	114	0.011027356901297377	1	2	3	67	5427	POLE2	s10786
83666	5	J17	2.23	68	41	0.011800393346444886	1	2	3	67	83666	PARP9	s38096
83666	6	J17	1.7	69	116	0.011800393346444886	1	2	3	67	83666	PARP9	s38095
641	2	C21	2.89	70	8	0.013036230659796698	1	3	3	100	641	BLM	s1998
4170	3	B09	1.31	71	216	0.013365284571133286	1	3	3	100	4170	MCL1	s8583
4170	2	B09	0.96	72	346	0.013365284571133286	1	3	3	100	4170	MCL1	s8585
4170	1	B09	0.79	73	435	0.013365284571133286	1	3	3	100	4170	MCL1	s8584
1017	3	E17	1.17	75	263	0.01364372012462764	1	3	3	100	1017	CDK2	s206
1017	2	E17	0.87	76	391	0.01364372012462764	1	3	3	100	1017	CDK2	s205
1017	1	E17	0.79	77	436	0.01364372012462764	1	3	3	100	1017	CDK2	s204
4750	2	F09	1.31	78	217	0.01402094608827388	1	3	3	100	4750	NEK1	s224107
4750	1	F09	0.99	79	327	0.01402094608827388	1	3	3	100	4750	NEK1	s224106
4750	3	F09	0.78	80	440	0.01402094608827388	1	3	3	100	4750	NEK1	s224108
5663	1	N03	1.21	81	249	0.014212138845903234	1	3	3	100	5663	PSEN1	s111
5663	3	N03	0.89	82	385	0.014212138845903234	1	3	3	100	5663	PSEN1	s113
5663	2	N03	0.77	83	444	0.014212138845903234	1	3	3	100	5663	PSEN1	s112
9768	3	J04	2.87	87	9	0.017511835773685636	1	3	3	100	9768	KIAA0101	s18861
9768	2	J04	1	88	321	0.017511835773685636	1	3	3	100	9768	KIAA0101	s18863
9768	1	J04	0.72	89	474	0.017511835773685636	1	3	3	100	9768	KIAA0101	s18862
25836	4	E07	2.84	90	11	0.017895453696948574	1	2	3	67	25836	NIPBL	s24587
389643	6	I04	2.56	91	22	0.018638875329045144	1	3	3	100	389643	C8orf80	s52516
389643	4	I04	0.76	92	449	0.018638875329045144	1	3	3	100	389643	C8orf80	s52514
389643	5	I04	0.7	93	486	0.018638875329045144	1	3	3	100	389643	C8orf80	s52515
666	3	E01	2.83	95	12	0.019511643295911485	1	2	3	67	666	BOK	s194315
6917	3	K06	1.5	98	165	0.020296493321658022	1	3	3	100	6917	TCEA1	s13847
6917	1	K06	0.88	99	388	0.020296493321658022	1	3	3	100	6917	TCEA1	s13849
6917	2	K06	0.67	100	499	0.020296493321658022	1	3	3	100	6917	TCEA1	s13848
2067	3	K01	2.27	101	38	0.020368966706185054	1	2	3	67	2067	ERCC1	s4786
2067	2	K01	1.54	102	156	0.020368966706185054	1	2	3	67	2067	ERCC1	s4785
5594	3	L21	1.68	103	123	0.021793197798355438	1	3	3	100	5594	MAPK1	s11139
5594	2	L21	0.75	104	453	0.021793197798355438	1	3	3	100	5594	MAPK1	s11138
5594	1	L21	0.65	105	510	0.021793197798355438	1	3	3	100	5594	MAPK1	s11137
10519	1	N16	1.37	106	200	0.02376528442149073	1	3	3	100	10519	CIB1	s20617
10519	3	N16	0.65	107	511	0.02376528442149073	1	3	3	100	10519	CIB1	s20618
10519	2	N16	0.62	108	522	0.02376528442149073	1	3	3	100	10519	CIB1	s20616
2071	3	K05	1.48	109	172	0.024036885712416724	1	3	3	100	2071	ERCC3	s4797
2071	1	K05	0.87	110	392	0.024036885712416724	1	3	3	100	2071	ERCC3	s4798
2071	2	K05	0.61	111	530	0.024036885712416724	1	3	3	100	2071	ERCC3	s4796
91419	6	N11	1.51	112	162	0.024346643913927383	1	3	3	100	91419	XRCC6BP1	s40652
91419	4	N11	1.49	113	170	0.024346643913927383	1	3	3	100	91419	XRCC6BP1	s40653
5429	2	J11	1.25	114	234	0.024864089655611078	1	3	3	100	5429	POLH	s10791
5429	1	J11	0.7	115	487	0.024864089655611078	1	3	3	100	5429	POLH	s10790
5429	3	J11	0.61	116	531	0.024864089655611078	1	3	3	100	5429	POLH	s10792
7178	1	M04	1.07	117	295	0.025143983639763313	1	3	3	100	7178	TPT1	s14360
7178	3	M04	1.01	118	314	0.025143983639763313	1	3	3	100	7178	TPT1	s14359
7178	2	M04	0.6	119	537	0.025143983639763313	1	3	3	100	7178	TPT1	s14358
54891	4	M13	1.67	120	125	0.025745539035698352	1	2	3	67	54891	INO80D	s29690
54891	6	M13	1.47	121	176	0.025745539035698352	1	2	3	67	54891	INO80D	s29689
9984	3	J22	4.01	122	1	0.026315217443574228	1	3	3	100	9984	THOC1	s19396
9984	1	J22	1.47	123	177	0.026315217443574228	1	3	3	100	9984	THOC1	s19397
286053	4	G10	1.26	125	232	0.027014651365161627	1	3	3	100	286053	NSMCE2	s50084
286053	6	G10	0.93	126	361	0.027014651365161627	1	3	3	100	286053	NSMCE2	s50086
286053	5	G10	0.56	127	549	0.027014651365161627	1	3	3	100	286053	NSMCE2	s50085
