ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Spots - Number of Objects	Spots - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots - Intensity Spot Border BP676/29 Mean - Median per Well	Spots - center_border_ratio - Median per Well	Spots - Spots Edu Pos - Mean per Well	Spots - Spots Edu Minus - Mean per Well	Nuclei Final - Number of Objects	Nuclei Final - Nucleus Area [µm²] - Mean per Well	Nuclei Final - Nucleus Roundness - Mean per Well	Nuclei Final - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final - Number of Spots - Mean per Well	Nuclei Final - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final - center_border_ratio- Mean per Cell  - Mean per Well	Nuclei Final - Nuclei Final Edu Pos - Mean per Well	Nuclei Final - Nuclei Final Edu Neg - Mean per Well	Nuclei Final Edu Pos - Number of Objects	Nuclei Final Edu Pos - Nucleus Area [µm²] - Mean per Well	Nuclei Final Edu Pos - Nucleus Roundness - Mean per Well	Nuclei Final Edu Pos - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final Edu Pos - Number of Spots - Mean per Well	Nuclei Final Edu Pos - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final Edu Pos - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - center_border_ratio- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Number of Objects	Nuclei Final Edu Neg - Nucleus Area [µm²] - Mean per Well	Nuclei Final Edu Neg - Nucleus Roundness - Mean per Well	Nuclei Final Edu Neg - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final Edu Neg - Number of Spots - Mean per Well	Nuclei Final Edu Neg - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final Edu Neg - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - center_border_ratio- Mean per Cell  - Mean per Well	Spots Edu Pos - Number of Objects	Spots Edu Pos - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots Edu Pos - Intensity Spot Border BP676/29 Mean - Median per Well	Spots Edu Pos - center_border_ratio - Median per Well	Spots Edu Minus - Number of Objects	Spots Edu Minus - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots Edu Minus - Intensity Spot Border BP676/29 Mean - Median per Well	Spots Edu Minus - center_border_ratio - Median per Well	Number of Analyzed Fields	Link
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A1	1	1	1	1	15221	55	62.5789473684	0.962082797245	0.474410354116	0.525589645884	326	296.824970177	0.913645472168	172.415992767	46.6901840491	0.00732949590951	1062.234868	63380.5237249	181.155937018	177.627104609	1.02046644763	0.423312883436	0.576687116564	138	304.217349034	0.917678408093	371.812892494	52.3260869565	0.00809970274287	813.113307837	45524.125043	392.083411182	383.563440677	1.034862098	188	291.398649527	0.910685125584	26.050183393	42.5531914894	0.00676413131907	1245.10069408	76487.8802041	26.3261953447	26.4610706862	1.00989942768	7221	344	357.7	0.955460841769	8000	24	23.0513157895	0.968304578875	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.1
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A2	1	2	1	1	2267	26	25.4347826087	0.989399293286	0.0802823114248	0.919717688575	57	323.927373294	0.892812208411	47.1598372201	39.7719298246	0.00549472753738	989.337171442	58662.126079	50.5944128276	49.5773154159	1.02773208176	0.0701754385965	0.929824561404	4	351.30875	0.908419433287	342.960182474	45.5	0.00611894590492	553.26636761	28688.8599326	365.764955854	356.20033726	1.03639051475	53	321.860854298	0.891634304647	24.8352828613	39.3396226415	0.00544761671719	1024.22283575	61059.9873707	25.3807693855	25.0474736684	1.02703940712	182	340.5	364.924107143	0.98261009244	2085	24	24.8888888889	0.990476190476	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.2
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A3	1	3	1	1	7412	42	35.1818783069	0.971260163985	0.390178089584	0.609821910416	154	348.447272727	0.909605249057	156.570688175	48.1298701299	0.00642296646805	947.690715566	56524.0050007	170.300682713	164.978503713	1.02376200007	0.344155844156	0.655844155844	53	348.24451782	0.917192663069	403.071249943	54.5660377358	0.00736678762153	818.513329837	46561.9952277	433.561765255	418.782860095	1.04223151963	101	348.553668867	0.905623734773	27.218908238	44.7524752475	0.00592769398157	1017.55195479	61911.622531	27.9247911339	27.7169640362	1.01377338235	2892	414	417.453913043	0.980324613287	4520	25	24.3636363636	0.959966611018	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.3
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A4	1	4	1	1	4496	24	24.3571428571	0.962611426256	0.015346975089	0.984653024911	104	385.732118056	0.868593945597	28.2946317309	43.2307692308	0.00515035705654	754.779089132	46156.7861381	28.9769596819	28.9124632521	1.0124510212	0.0192307692308	0.980769230769	2	346.496944444	0.883706720132	197.051765357	34.5	0.00548484950375	527.998060575	26731.6042105	219.199473684	217.380112323	1.01757939997	102	386.501435185	0.868297616684	24.9856683265	43.4019607843	0.0051437983811	759.269802569	46541.443206	25.2101772264	25.1804305972	1.01234946914	69	217	243.04	0.989010989011	4427	24	24.2692307692	0.962476547842	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.4
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A5	1	5	1	1	11825	42	33	0.968446601942	0.427230443975	0.572769556025	254	292.595850831	0.906430337896	165.152107224	46.5551181102	0.00734354490135	1064.93390326	62698.9932343	176.345646407	172.165010364	1.01822360296	0.358267716535	0.641732283465	91	305.196150794	0.929738369078	412.442431053	55.5164835165	0.00866271296105	837.987327837	46015.2334444	436.878514734	425.01826863	1.04337941987	163	285.561327539	0.89341787877	27.0943190745	41.5521472393	0.00660707684348	1194.82156592	72247.5601581	27.2356400064	27.4502524879	1.00382624864	5052	378	382.468013468	0.974924208393	6773	25	24.5925925926	0.958506224066	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.5
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A6	1	6	1	1	8218	29	25.6939799331	0.969588161689	0.22024823558	0.77975176442	190	287.899406433	0.89301193734	73.6368669428	43.2526315789	0.00699137615643	768.544607939	45212.5996054	77.4223142686	75.7472957869	1.0177107171	0.189473684211	0.810526315789	36	295.760432099	0.895377919018	277.133762554	50.2777777778	0.00801990205951	676.47171735	36963.235872	295.486247532	287.005202726	1.04290952721	154	286.061764069	0.892458850713	26.0661640725	41.6103896104	0.00675094152974	790.068140804	47141.0222964	26.4463298694	26.3623305284	1.01182008616	1810	236.5	237.352678571	0.960150813459	6408	24	24.1666666667	0.971781217339	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.6
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A7	1	7	1	1	14525	37	28.4	0.960190393769	0.381617900172	0.618382099828	318	320.256328616	0.887339869577	119.214153622	45.6761006289	0.00661835827274	953.501256499	56404.0872166	126.694987193	125.226406765	1.00894936241	0.320754716981	0.679245283019	102	347.866157407	0.902621377235	314.145075645	54.3431372549	0.00751561909956	674.748761675	37838.744092	330.414102446	324.952662386	1.01519622033	216	307.218353909	0.880123602072	27.163440445	41.5833333333	0.00619465177118	1089.54314393	65464.6852965	27.2722610893	27.7523489981	1.00590065663	5543	291	308.428571429	0.961394948335	8982	23	22.760952381	0.959907264297	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.7
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A8	1	8	1	1	1852	28	28.2198067633	0.984527387371	0	1	42	379.327876984	0.802400499738	33.9339065968	44.0952380952	0.00540995862418	997.671385925	59098.4169345	28.3804656484	28.0510996646	1.02626238134	0.0238095238095	0.97619047619	1	223.361666667	0.779247484837	294.114333754	0	0	NaN	NaN	NaN	NaN	NaN	41	383.131930894	0.802965207418	27.5880425198	45.1707317073	0.00554190883453	997.671385925	59098.4169345	28.3804656484	28.0510996646	1.02626238134	0	NaN	NaN	NaN	1852	28	28.2198067633	0.984527387371	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.8
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A9	1	9	1	1	29067	41	33.9615384615	0.949771689498	0.433962913269	0.566037086731	610	272.20051184	0.88052757861	117.696113665	47.6508196721	0.00809217811365	840.190680966	47887.0869357	123.08382565	121.67685824	1.0182665545	0.367213114754	0.632786885246	224	297.887439236	0.89900674823	274.379335601	56.3125	0.00883592820014	576.164815175	30205.7636085	287.529503905	284.290340674	1.02215068259	386	257.294108377	0.869803915411	26.7711351327	42.6243523316	0.00766057184584	993.407763706	58147.75125	27.6542092535	27.310485014	1.01601255271	12614	255	266.052777778	0.944145548601	16453	22	21.92	0.956719817768	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.9
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A10	1	10	1	1	1047	28	27.6296296296	0.969754253308	0.0315186246418	0.968481375358	35	303.754698413	0.820861337588	34.1938875125	29.9142857143	0.004077825747	708.891575936	42604.6085977	35.6044859645	36.9087578739	0.98776543065	0.0285714285714	0.971428571429	1	341.755555556	0.932268569244	167.72706044	33	0.00453296703297	468.314982964	26793.4848485	180.333333333	183.544095248	0.98864124729	34	302.637026144	0.817584654304	30.2664412499	29.8235294118	0.00406443923859	716.910795702	43131.646056	30.7801910522	32.0209132948	0.987736236762	33	166	185.826086957	0.9696	1014	28	27.3568181818	0.971165974917	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.10
