Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],HT000901,384LDV_Plus_AQ_GP,N3,0,0,0,Percent,Glycerol,"Data missing for well (14th row, 3th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,A23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (1th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,B23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (2th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,C23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (3th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,D23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (4th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,E23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (5th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,F23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (6th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,G23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (7th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,H23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (8th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,I23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (9th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,J23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (10th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,K23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (11th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,L23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (12th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,M23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (13th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,N23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (14th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,O23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (15th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,P23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (16th row, 23th column), defaulting to 0.0 value of Glycerol"

