ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Spots - Number of Objects	Spots - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots - Intensity Spot Border BP676/29 Mean - Median per Well	Spots - center_border_ratio - Median per Well	Spots - Spots Edu Pos - Mean per Well	Spots - Spots Edu Minus - Mean per Well	Nuclei Final - Number of Objects	Nuclei Final - Nucleus Area [µm²] - Mean per Well	Nuclei Final - Nucleus Roundness - Mean per Well	Nuclei Final - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final - Number of Spots - Mean per Well	Nuclei Final - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final - center_border_ratio- Mean per Cell  - Mean per Well	Nuclei Final - Nuclei Final Edu Pos - Mean per Well	Nuclei Final - Nuclei Final Edu Neg - Mean per Well	Nuclei Final Edu Pos - Number of Objects	Nuclei Final Edu Pos - Nucleus Area [µm²] - Mean per Well	Nuclei Final Edu Pos - Nucleus Roundness - Mean per Well	Nuclei Final Edu Pos - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final Edu Pos - Number of Spots - Mean per Well	Nuclei Final Edu Pos - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final Edu Pos - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - center_border_ratio- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Number of Objects	Nuclei Final Edu Neg - Nucleus Area [µm²] - Mean per Well	Nuclei Final Edu Neg - Nucleus Roundness - Mean per Well	Nuclei Final Edu Neg - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final Edu Neg - Number of Spots - Mean per Well	Nuclei Final Edu Neg - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final Edu Neg - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - center_border_ratio- Mean per Cell  - Mean per Well	Spots Edu Pos - Number of Objects	Spots Edu Pos - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots Edu Pos - Intensity Spot Border BP676/29 Mean - Median per Well	Spots Edu Pos - center_border_ratio - Median per Well	Spots Edu Minus - Number of Objects	Spots Edu Minus - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots Edu Minus - Intensity Spot Border BP676/29 Mean - Median per Well	Spots Edu Minus - center_border_ratio - Median per Well	Number of Analyzed Fields	Link
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A1	1	1	1	1	34373	187	209	0.954545454545	0.550402932534	0.449597067466	531	239.032093534	0.865640355405	528.762310891	64.7325800377	0.00309385151694	890.58351104	62030.173942	559.269364546	552.908789838	0.9911278513	0.463276836158	0.536723163842	246	263.740472561	0.86904454784	1105.23094681	76.906504065	0.00336140592546	639.013736652	44429.3757045	1170.60564226	1156.8118378	0.990861191543	285	217.704861111	0.862701999829	31.1788567289	54.2245614035	0.00286290981695	1107.72794788	77222.4418943	31.589630097	31.6451063321	0.991358020774	18919	1007	1068.42857143	0.956419316843	15454	26	26.6785714286	0.952380952381	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.1
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A2	1	2	1	1	35555	69	86.5	0.954924874791	0.502151596119	0.497848403881	476	285.003297298	0.848585017032	526.009733321	74.6953781513	0.00302119334508	768.930593933	53400.2505275	565.007671437	558.271663443	0.993581187644	0.460084033613	0.539915966387	219	288.885661149	0.851209935348	1105.91137892	81.5251141553	0.00328671457365	560.439844159	38841.4556176	1190.72663636	1175.95119337	0.990347988989	257	281.694979464	0.846348218934	31.8522999087	68.8754863813	0.0027949320647	946.593917671	65806.383155	31.8074639704	31.9221807446	0.996336325798	17854	1045.5	1104.50805153	0.951180296342	17701	28	29.380952381	0.959122632104	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.2
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A3	1	3	1	1	27853	201	250.928571429	0.947562097516	0.543101281729	0.456898718271	368	291.752355261	0.877998003549	654.325757072	75.6875	0.00300041417839	898.368022462	62613.7515429	686.233623265	683.662265139	0.983343705544	0.494565217391	0.505434782609	182	301.489990079	0.875985225209	1292.96240197	83.1153846154	0.00320686640562	725.98584249	51049.9862309	1357.96929385	1352.22915375	0.983953449096	186	282.224131944	0.879967496334	29.4232335655	68.4193548387	0.002798401784	1067.04305878	73928.8337298	28.9438810841	29.4731590765	0.982747074756	15127	1212	1290.62962963	0.945811406628	12726	25	26.0714285714	0.950858477297	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.3
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A4	1	4	1	1	26934	49	41.5584415584	0.953008009583	0.47378777753	0.52621222247	463	273.088786147	0.848618998992	421.420032234	58.1727861771	0.00244833945879	781.983412591	53124.612187	449.984334972	446.802991492	0.989168715832	0.36717062635	0.63282937365	170	315.257625817	0.852694221288	1101.1866684	75.0647058824	0.00277200907691	580.244554396	39650.7763685	1174.35727504	1165.06037377	0.985280155265	293	248.622223881	0.846254535544	27.0161818996	48.3720136519	0.00226054479982	899.837728374	60995.9252081	26.8111397431	27.2024588893	0.991440383517	12761	1064	1142.64285714	0.952431289641	14173	25	26.7142857143	0.954344624448	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.4
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A5	1	5	1	1	24767	59	66.3333333333	0.948528444807	0.486897888319	0.513102111681	385	287.593585678	0.857968998068	517.734527952	64.3298701299	0.00257566631007	751.092186129	51374.0513804	545.5780058	543.780652629	0.988561632581	0.41038961039	0.58961038961	158	305.330826301	0.864298096196	1223.21939793	76.3227848101	0.00290676716833	565.547809133	38882.1926946	1289.73927479	1285.54938246	0.983435609623	227	275.247841104	0.853563722719	26.6921955449	55.9823788546	0.00234520844396	880.237611527	60068.8252673	27.6155366323	27.4834750402	0.992129525213	12059	1180	1263.35714286	0.950405411561	12708	23	23.9285714286	0.944974353141	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.5
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A6	1	6	1	1	37974	536	629.129285714	0.95788036848	0.617685785011	0.382314214989	610	250.124021061	0.854138181308	808.74028504	62.2524590164	0.00285134549466	687.718847199	46774.9861731	884.538456032	871.688470695	0.996268004011	0.550819672131	0.449180327869	336	259.988742146	0.854077752696	1441.0906185	69.8095238095	0.00308518620497	539.891502069	36627.7370001	1578.17877448	1554.9592528	0.998156393023	274	238.027136811	0.854212283547	33.3033797708	52.9854014599	0.0025645919229	868.996175535	59218.3282248	33.9430290321	33.8089714771	0.993952315295	23456	1365	1460.10416667	0.955380443317	14518	30	30.9642857143	0.961538461538	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.6
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A7	1	7	1	1	8777	98	108.954545455	0.949574846747	0.493676654893	0.506323345107	144	266.329932967	0.843089142808	415.719006653	60.9513888889	0.00257126631161	866.775697519	61311.380861	444.370873724	444.289597149	0.983985265719	0.472222222222	0.527777777778	68	260.398762255	0.847895182754	831.288100503	63.7205882353	0.00280276588898	705.817979731	49847.2687687	885.048615741	884.45235021	0.986790654475	76	271.63676992	0.838789001803	43.8940279447	58.4736842105	0.00236413511081	1012.71069498	71705.5091579	44.8230542959	45.2087010405	0.981441713246	4333	796	873.518518519	0.953625738344	4444	36	36.7357549858	0.941547599735	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.7
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A8	1	8	1	1	25702	50	46.1428571429	0.951235579549	0.41817757373	0.58182242627	357	285.697807151	0.823318569535	316.849819998	71.9943977591	0.00290394890152	649.733898243	44725.7984055	337.890971778	333.087619939	0.985936530653	0.350140056022	0.649859943978	125	306.631628333	0.833428053606	835.566907313	85.984	0.00325686252452	463.419496202	32198.0568047	896.858355857	882.209708702	0.985574964626	232	274.418808669	0.817871649238	37.3686307118	64.4568965517	0.00271380147534	750.118813135	51475.6591818	36.7232001834	37.2244255614	0.986131339934	10748	674	735.331043956	0.937340110947	14954	34	35.2307692308	0.962043438471	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.8
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A9	1	9	1	1	43294	43	34.5917508418	0.94878714161	0.462211853837	0.537788146163	641	247.059310106	0.830735310489	480.424017615	67.5413416537	0.00315025962808	865.848028932	59846.3900324	514.574533724	509.548198402	0.991757978654	0.372854914197	0.627145085803	239	283.234493259	0.84349486207	1240.89180889	83.7280334728	0.00346854550197	594.606668914	41153.7481269	1330.77087232	1317.22050428	0.982904963564	402	225.552173853	0.823149407933	28.3051068842	57.9179104478	0.00296102996673	1027.51058515	70987.3910684	28.1133743134	28.1674475193	0.997034463958	20011	1176	1257	0.937597548171	23283	25	25.8846153846	0.959608323133	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.9
220203-Kinome-Lib-Batch-1	8022	HT001059	8272	2022-02-02T20:14:11Z	8325	A10	1	10	1	1	30424	68	67.8095238095	0.953172674216	0.489514856692	0.510485143308	442	282.800635212	0.850343782149	514.137673645	68.8325791855	0.00277787678043	1047.87814895	72898.9275396	551.316624037	544.860911386	0.988510322639	0.404977375566	0.595022624434	179	312.440651381	0.849082201309	1216.89483178	83.2011173184	0.00309446012327	831.382211082	58414.7518388	1307.02638513	1290.09264035	0.997968946023	263	262.627392269	0.851202424621	35.8352732391	59.0532319392	0.00256240750907	1195.78949581	82794.6048314	35.0111002371	35.7140431251	0.98204813338	14893	1195	1266.33333333	0.951796669588	15531	32	33.2631578947	0.954206602769	9	http://columbus-sg.nci.nih.gov/browse/measurement/8325/well=1.10
