GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID
51755	4	C20	3.18	1	41	1.1606535622078076e-4	1	3	3	100	51755	CRKRS	s28622
51755	2	C20	2.38	2	99	1.1606535622078076e-4	1	3	3	100	51755	CRKRS	s28621
51755	6	C20	2.31	3	111	1.1606535622078076e-4	1	3	3	100	51755	CRKRS	s28623
7272	1	F18	7.14	4	1	2.3419756164955993e-4	1	3	3	100	7272	TTK	s120
7272	3	E17	2.55	5	78	2.3419756164955993e-4	1	3	3	100	7272	TTK	s224757
7272	5	E17	2.07	6	140	2.3419756164955993e-4	1	3	3	100	7272	TTK	s224756
5754	1	G19	2.69	7	63	7.512970708424661e-4	1	3	3	100	5754	PTK7	s11490
5754	5	H20	2.61	8	74	7.512970708424661e-4	1	3	3	100	5754	PTK7	s224470
5754	3	H20	1.6	9	205	7.512970708424661e-4	1	3	3	100	5754	PTK7	s11491
6790	5	G01	3.06	10	44	0.0010610497442360442	1	3	3	100	6790	AURKA	s197
6790	3	G01	2.09	11	137	0.0010610497442360442	1	3	3	100	6790	AURKA	s196
6790	1	H02	1.45	12	230	0.0010610497442360442	1	3	3	100	6790	AURKA	s195
5347	3	I05	6.9	13	2	0.0013122765736006154	1	3	3	100	5347	PLK1	s449
5347	5	I05	3.02	14	47	0.0013122765736006154	1	3	3	100	5347	PLK1	s450
983	1	J08	5.11	15	5	0.00136261612500706	1	3	3	100	983	CDC2	s463
983	5	I07	1.94	16	153	0.00136261612500706	1	3	3	100	983	CDC2	s465
983	3	I07	1.35	17	249	0.00136261612500706	1	3	3	100	983	CDC2	s464
8295	4	A13	3.02	18	48	0.0014242684054962661	1	2	3	67	8295	TRRAP	s15797
8295	6	A13	2.92	19	50	0.0014242684054962661	1	2	3	67	8295	TRRAP	s224897
2185	3	M02	3.66	20	26	0.001481957044782794	1	2	3	67	2185	PTK2B	s223513
2185	1	N01	2.9	21	51	0.001481957044782794	1	2	3	67	2185	PTK2B	s223514
26524	2	K20	2.74	23	61	0.0018335045486798753	1	3	3	100	26524	LATS2	s25503
26524	6	K20	1.48	24	224	0.0018335045486798753	1	3	3	100	26524	LATS2	s25505
26524	4	K20	1.27	25	274	0.0018335045486798753	1	3	3	100	26524	LATS2	s25504
284656	6	L22	6.9	26	3	0.002658395055904227	1	1	3	33	284656	EPHA10	s200589
4833	1	G16	4.26	27	12	0.0036409615648093363	1	2	3	67	4833	NME4	s9594
4833	5	H15	2.52	28	80	0.0036409615648093363	1	2	3	67	4833	NME4	s9596
118788	2	D04	4.43	29	9	0.004001346288016261	1	3	3	100	118788	PIK3AP1	s42242
118788	4	D04	1.52	30	217	0.004001346288016261	1	3	3	100	118788	PIK3AP1	s42243
118788	6	D04	1.02	31	359	0.004001346288016261	1	3	3	100	118788	PIK3AP1	s42244
57787	2	J03	2.34	32	105	0.006361536863443409	1	2	3	67	57787	MARK4	s33717
57787	4	J03	2.33	33	106	0.006361536863443409	1	2	3	67	57787	MARK4	s33718
202374	6	H16	1.12	34	320	0.0065538328509848	1	3	3	100	202374	STK32A	s47445
202374	4	H16	0.97	35	376	0.0065538328509848	1	3	3	100	202374	STK32A	s47444
202374	2	H16	0.88	36	415	0.0065538328509848	1	3	3	100	202374	STK32A	s47443
65268	4	L15	0.96	37	381	0.006600534747785158	1	3	3	100	65268	WNK2	s35282
65268	6	L15	0.9	38	404	0.006600534747785158	1	3	3	100	65268	WNK2	s35283
65268	2	L15	0.88	39	416	0.006600534747785158	1	3	3	100	65268	WNK2	s35281
23654	6	I22	3.55	40	30	0.007092706485770722	1	2	3	67	23654	PLXNB2	s24288
23654	2	I22	2.3	41	112	0.007092706485770722	1	2	3	67	23654	PLXNB2	s24286
5362	5	P13	3.49	42	35	0.007344946856126664	1	2	3	67	5362	PLXNA2	s10701
5362	3	P13	2.3	43	113	0.007344946856126664	1	2	3	67	5362	PLXNA2	s10700
984	1	D05	2.55	44	79	0.0075305211360918705	1	3	3	100	984	CDK11B	s2732
984	3	C06	2.13	45	133	0.0075305211360918705	1	3	3	100	984	CDK11B	s2733
984	5	C06	0.83	46	443	0.0075305211360918705	1	3	3	100	984	CDK11B	s2734
8503	2	A19	1.29	47	269	0.007841376826733654	1	3	3	100	8503	PIK3R3	s16151
8503	6	A19	1.03	48	352	0.007841376826733654	1	3	3	100	8503	PIK3R3	s16153
8503	4	A19	0.82	49	447	0.007841376826733654	1	3	3	100	8503	PIK3R3	s16152
7535	4	A07	4.78	50	6	0.007961042686599995	1	2	3	67	7535	ZAP70	s14974
8566	4	C11	4.72	51	7	0.009283761296351336	1	1	3	33	8566	PDXK	s16311
9448	4	K05	4.68	52	8	0.010605303633439216	1	1	3	33	9448	MAP4K4	s18096
5288	3	N11	4.04	53	16	0.011633219430232775	1	2	3	67	5288	PIK3C2G	s10515
5288	5	N11	2	54	144	0.011633219430232775	1	2	3	67	5288	PIK3C2G	s10516
9262	4	I21	2.86	55	54	0.012619344059293531	1	3	3	100	9262	STK17B	s17710
9262	2	I21	1.02	56	360	0.012619344059293531	1	3	3	100	9262	STK17B	s17709
9262	6	I21	0.69	57	526	0.012619344059293531	1	3	3	100	9262	STK17B	s17711
29993	2	O10	2.42	58	93	0.012836914734757418	1	3	3	100	29993	PACSIN1	s26862
29993	6	O10	1.23	59	285	0.012836914734757418	1	3	3	100	29993	PACSIN1	s223837
29993	4	O10	0.69	60	527	0.012836914734757418	1	3	3	100	29993	PACSIN1	s223836
51727	2	C18	2.28	61	116	0.013101710036732779	1	3	3	100	51727	CMPK1	s28582
51727	4	C18	1.94	62	154	0.013101710036732779	1	3	3	100	51727	CMPK1	s28583
2261	1	N09	4.42	63	10	0.013244861582637556	1	3	3	100	2261	FGFR3	s5167
5636	5	H12	1.85	64	166	0.013808635256223794	1	3	3	100	5636	PRPSAP2	s11244
5636	1	G11	0.68	65	530	0.013808635256223794	1	3	3	100	5636	PRPSAP2	s11242
5636	3	H12	0.67	66	542	0.013808635256223794	1	3	3	100	5636	PRPSAP2	s11243
53354	6	E04	2.5	67	84	0.014351611717500807	1	3	3	100	53354	PANK1	s28720
53354	2	E04	0.93	68	390	0.014351611717500807	1	3	3	100	53354	PANK1	s28718
53354	4	E04	0.65	69	546	0.014351611717500807	1	3	3	100	53354	PANK1	s28719
9201	4	I11	4.36	70	11	0.014562878241254162	1	2	3	67	9201	DCLK1	s17585
117283	2	D02	2.63	71	69	0.015729120145117726	1	3	3	100	117283	IP6K3	s42154
117283	6	D02	1.27	72	275	0.015729120145117726	1	3	3	100	117283	IP6K3	s42156
117283	4	D02	0.63	73	563	0.015729120145117726	1	3	3	100	117283	IP6K3	s42155
9212	4	I13	4.26	74	13	0.015879720720218874	1	2	3	67	9212	AURKB	s17612
5313	5	P07	3.03	75	45	0.015915940290390337	1	2	3	67	5313	PKLR	s10570
5313	1	O08	1.82	76	169	0.015915940290390337	1	2	3	67	5313	PKLR	s10568
6793	3	N10	2.48	77	86	0.017612124424196754	1	3	3	100	6793	STK10	s13577
6793	1	M09	1.76	78	176	0.017612124424196754	1	3	3	100	6793	STK10	s13576
4145	3	K07	1.83	80	168	0.01809357261593706	1	3	3	100	4145	MATK	s585
4145	5	K07	0.63	81	564	0.01809357261593706	1	3	3	100	4145	MATK	s586
4145	1	L08	0.57	82	591	0.01809357261593706	1	3	3	100	4145	MATK	s584
657	3	G17	4.23	83	14	0.018509885232206653	1	1	3	33	657	BMPR1A	s281
1021	3	E05	2.63	84	70	0.01938883718917049	1	2	3	67	1021	CDK6	s52
1021	5	E05	1.71	85	187	0.01938883718917049	1	2	3	67	1021	CDK6	s53
5591	1	N02	4.2	86	15	0.019823208311735195	1	2	3	67	5591	PRKDC	s773
660	5	O21	2.4	87	96	0.019998838169118616	1	3	3	100	660	BMX	s2049
660	1	P22	1.69	88	189	0.019998838169118616	1	3	3	100	660	BMX	s2047
26576	6	K22	1.97	89	148	0.020204136469563712	1	2	3	67	26576	SRPK3	s25547
26576	4	K22	1.69	90	190	0.020204136469563712	1	2	3	67	26576	SRPK3	s25546
5298	5	P03	1.55	91	213	0.020384564556627457	1	3	3	100	5298	PI4KB	s10543
5298	1	O04	0.71	92	515	0.020384564556627457	1	3	3	100	5298	PI4KB	s224266
5298	3	P03	0.54	93	611	0.020384564556627457	1	3	3	100	5298	PI4KB	s10542
4140	3	D15	0.77	94	480	0.020784251333217187	1	3	3	100	4140	MARK3	s8515
4140	5	D15	0.6	95	582	0.020784251333217187	1	3	3	100	4140	MARK3	s8516
4140	1	C16	0.53	96	618	0.020784251333217187	1	3	3	100	4140	MARK3	s8514
23049	6	G18	2.15	97	131	0.020825910641202986	1	2	3	67	23049	SMG1	s223562
23049	2	G18	1.68	98	192	0.020825910641202986	1	2	3	67	23049	SMG1	s223560
23729	6	K06	2.42	99	94	0.021668622097876837	1	2	3	67	23729	SHPK	s24336
23729	4	K06	1.67	100	198	0.021668622097876837	1	2	3	67	23729	SHPK	s24335
8711	4	E05	3.51	101	33	0.02170257598271407	1	3	3	100	8711	TNK1	s16595
8711	6	E05	1.07	102	338	0.02170257598271407	1	3	3	100	8711	TNK1	s16596
8711	2	E05	0.51	103	631	0.02170257598271407	1	3	3	100	8711	TNK1	s16594
160851	4	H08	4.03	104	17	0.022446338734127217	1	1	3	33	160851	DGKH	s46228
64398	2	J17	3.82	105	22	0.022526905562760886	1	3	3	100	64398	MPP5	s34686
64398	6	J17	1.65	106	202	0.022526905562760886	1	3	3	100	64398	MPP5	s34688
85443	4	P21	1.86	107	164	0.02296186586816313	1	2	3	67	85443	DCLK3	s40004
85443	2	P21	1.61	108	204	0.02296186586816313	1	2	3	67	85443	DCLK3	s40003
4915	1	G22	1.03	109	353	0.02307620972213213	1	3	3	100	4915	NTRK2	s9748
4915	5	H21	0.65	110	547	0.02307620972213213	1	3	3	100	4915	NTRK2	s9750
4915	3	H21	0.48	111	642	0.02307620972213213	1	3	3	100	4915	NTRK2	s9749
2646	1	P13	4.01	112	18	0.023756147123496357	1	1	3	33	2646	GCKR	s5651
2011	3	I20	2.43	113	92	0.023843381764650968	1	3	3	100	2011	MARK2	s4649
2011	1	J19	1.6	114	206	0.023843381764650968	1	3	3	100	2011	MARK2	s4648
7010	1	O01	4	116	19	0.02506478499598504	1	2	3	67	7010	TEK	s224719
1160	3	A11	0.85	117	436	0.02518626863664848	1	3	3	100	1160	CKMT2	s3101
1160	5	A11	0.59	118	586	0.02518626863664848	1	3	3	100	1160	CKMT2	s3102
1160	1	B12	0.45	119	659	0.02518626863664848	1	3	3	100	1160	CKMT2	s3100
79012	4	L19	0.79	120	466	0.02553075745806053	1	3	3	100	79012	CAMKV	s35419
79012	6	L19	0.63	121	565	0.02553075745806053	1	3	3	100	79012	CAMKV	s35420
79012	2	L19	0.45	122	660	0.02553075745806053	1	3	3	100	79012	CAMKV	s35418
5609	5	F20	3.92	123	20	0.02637225287484589	1	2	3	67	5609	MAP2K7	s11184
256356	2	J08	2.47	124	88	0.02682074345539266	1	3	3	100	256356	GK5	s48765
256356	6	J08	0.91	125	397	0.02682074345539266	1	3	3	100	256356	GK5	s48767
256356	4	J08	0.44	126	671	0.02682074345539266	1	3	3	100	256356	GK5	s48766
5607	3	F16	3.84	127	21	0.02767855128333219	1	2	3	67	5607	MAP2K5	s11177
2045	5	K08	3.03	128	46	0.02848069022842672	1	2	3	67	2045	EPHA7	s4733
2045	3	K08	1.46	129	227	0.02848069022842672	1	2	3	67	2045	EPHA7	s4732
79672	2	N01	2.83	131	57	0.030193182064110716	1	2	3	67	79672	NA	s36064
79672	6	N01	1.42	132	235	0.030193182064110716	1	2	3	67	79672	NA	s36066
1436	3	C03	3.7	133	23	0.0302876417821929	1	2	3	67	1436	CSF1R	s3595
9024	4	G15	1.74	134	180	0.031444447342103075	1	2	3	67	9024	BRSK2	s17198
9024	6	G15	1.4	135	240	0.031444447342103075	1	2	3	67	9024	BRSK2	s17199
5166	3	L11	3.69	136	24	0.031590434919072936	1	3	3	100	5166	PDK4	s10262
56990	6	H05	3.67	137	25	0.03289206067859044	1	2	3	67	56990	CDC42SE2	s32545
3480	5	B19	1.07	138	339	0.033509107259699515	1	3	3	100	3480	IGF1R	s223918
3480	1	A20	0.64	139	557	0.033509107259699515	1	3	3	100	3480	IGF1R	s223917
3480	3	B19	0.38	140	719	0.033509107259699515	1	3	3	100	3480	IGF1R	s223919
23396	2	I10	2.78	141	59	0.033755182663633025	1	2	3	67	23396	PIP5K1C	s23730
23396	6	I10	1.35	142	250	0.033755182663633025	1	2	3	67	23396	PIP5K1C	s23732
29959	2	O08	1.68	143	193	0.03480613833493957	1	3	3	100	29959	NRBP1	s26797
29959	4	O08	1.34	144	252	0.03480613833493957	1	3	3	100	29959	NRBP1	s26798
85366	4	P19	1.68	145	194	0.03533711451273913	1	3	3	100	85366	MYLK2	s39932
85366	2	P19	1.34	146	253	0.03533711451273913	1	3	3	100	85366	MYLK2	s39931
22858	6	G08	3.66	147	27	0.035491812158548616	1	1	3	33	22858	ICK	s22516
10114	5	M03	3.66	148	28	0.03678993892549549	1	1	3	33	10114	HIPK3	s802
5128	3	J19	0.7	149	522	0.037830956976508755	1	3	3	100	5128	PCTK2	s10160
5128	1	I20	0.65	150	548	0.037830956976508755	1	3	3	100	5128	PCTK2	s10159
5128	5	J19	0.35	151	752	0.037830956976508755	1	3	3	100	5128	PCTK2	s10161
65125	4	L07	3.63	152	29	0.03808690040809121	1	2	3	67	65125	WNK1	s35234
27010	6	M06	0.94	153	385	0.03904307456074274	1	3	3	100	27010	TPK1	s25694
27010	4	M06	0.54	154	612	0.03904307456074274	1	3	3	100	27010	TPK1	s25693
27010	2	M06	0.33	155	765	0.03904307456074274	1	3	3	100	27010	TPK1	s25692
659	5	O19	1.67	156	199	0.03915580208630587	1	3	3	100	659	BMPR2	s2046
659	1	P20	1.29	157	270	0.03915580208630587	1	3	3	100	659	BMPR2	s2044
