GeneID	GeneSymbol	median_z_score
374872	C19orf35	2.24
10154	PLXNC1	1.62
347359	BMP2KL	1.62
64799	IQCH	1.59
6794	STK11	1.57
64781	CERK	1.51
51231	VRK3	1.47
8526	DGKE	1.37
2066	ERBB4	1.35
4831	NME2	1.33
1859	DYRK1A	1.31
6197	RPS6KA3	1.31
2241	FER	1.3
1456	CSNK1G3	1.26
5261	PHKG2	1.25
8780	RIOK3	1.24
7294	TXK	1.23
1457	CSNK2A1	1.19
5594	MAPK1	1.14
2051	EPHB6	1.13
6885	MAP3K7	1.13
22853	LMTK2	1.13
9590	AKAP12	1.12
9748	SLK	1.12
80216	ALPK1	1.12
9088	PKMYT1	1.09
2042	EPHA3	1.07
2049	EPHB3	1.07
3932	LCK	1.06
64080	RBKS	1.06
5159	PDGFRB	1.03
5289	PIK3C3	1.02
1956	EGFR	1
3717	JAK2	1
65267	WNK3	1
2931	GSK3A	0.99
10645	CAMKK2	0.98
2260	FGFR1	0.96
29993	PACSIN1	0.95
90	ACVR1	0.94
5157	PDGFRL	0.93
55450	CAMK2N1	0.92
112464	PRKCDBP	0.92
152110	NEK10	0.91
7175	TPR	0.9
11184	MAP4K1	0.89
260425	MAGI3	0.89
5579	PRKCB	0.88
26993	AKAP8L	0.87
83732	RIOK1	0.86
5297	PI4KA	0.85
11113	CIT	0.85
27010	TPK1	0.85
225689	MAPK15	0.85
23139	MAST2	0.84
91	ACVR1B	0.83
30849	PIK3R4	0.83
5213	PFKM	0.82
10221	TRIB1	0.81
11035	RIPK3	0.81
51314	TXNDC3	0.81
4750	NEK1	0.8
11213	IRAK3	0.8
4139	MARK1	0.79
11011	TLK2	0.79
1633	DCK	0.78
2645	GCK	0.78
51347	TAOK3	0.78
8396	PIP4K2B	0.77
8649	MAPKSP1	0.76
5260	PHKG1	0.75
55681	SCYL2	0.75
8737	RIPK1	0.73
85481	PSKH2	0.73
51701	NLK	0.72
7371	UCK2	0.71
9263	STK17A	0.7
253430	IPMK	0.7
369	ARAF	0.69
817	CAMK2D	0.69
2872	MKNK2	0.69
8491	MAP4K3	0.69
3702	ITK	0.68
80852	GRIP2	0.68
1454	CSNK1E	0.67
3101	HK3	0.67
7075	TIE1	0.67
25778	DSTYK	0.67
80271	ITPKC	0.67
122011	CSNK1A1L	0.67
1606	DGKA	0.66
10087	COL4A3BP	0.66
1017	CDK2	0.65
3055	HCK	0.65
4914	NTRK1	0.65
6850	SYK	0.65
5563	PRKAA2	0.64
9113	LATS1	0.64
80347	COASY	0.64
283629	TSSK4	0.63
8517	IKBKG	0.62
79646	PANK3	0.62
340156	MYLK4	0.62
1760	DMPK	0.61
2584	GALK1	0.6
9829	DNAJC6	0.6
1025	CDK9	0.59
4342	MOS	0.59
5567	PRKACB	0.59
269	AMHR2	0.58
5288	PIK3C2G	0.58
6446	SGK1	0.58
9475	ROCK2	0.58
2712	GK2	0.57
5634	PRPS2	0.57
9024	BRSK2	0.57
9146	HGS	0.57
9891	NUAK1	0.57
23097	CDK19	0.57
26228	STAP1	0.57
51135	IRAK4	0.57
167359	NIM1	0.57
5600	MAPK11	0.56
7084	TK2	0.56
7301	TYRO3	0.56
5165	PDK3	0.55
136371	ASB10	0.55
283455	KSR2	0.55
1158	CKM	0.54
10769	PLK2	0.54
26007	DAK	0.54
54981	C9orf95	0.54
4293	MAP3K9	0.53
9578	CDC42BPB	0.53
85366	MYLK2	0.53
139189	DGKK	0.53
2081	ERN1	0.52
84254	CAMKK1	0.52
156	ADRBK1	0.51
695	BTK	0.51
5362	PLXNA2	0.51
57172	CAMK1G	0.51
5291	PIK3CB	0.5
27	ABL2	0.48
1159	CKMT1B	0.48
5894	RAF1	0.48
9465	AKAP7	0.48
3705	ITPK1	0.47
4246	SCGB2A1	0.47
5170	PDPK1	0.47
8558	CDK10	0.47
54963	UCKL1	0.47
55872	PBK	0.47
79837	PIP4K2C	0.47
23683	PRKD3	0.46
80122	MAP3K19	0.46
1019	CDK4	0.45
5681	PSKH1	0.45
9060	PAPSS2	0.45
23613	ZMYND8	0.45
51765	MST4	0.45
197259	MLKL	0.45
472	ATM	0.44
2870	GRK6	0.44
53834	FGFRL1	0.44
122481	AK7	0.44
808	CALM3	0.43
4593	MUSK	0.43
138429	PIP5KL1	0.43
5979	RET	0.42
203	AK1	0.41
1018	CDK3	0.41
1613	DAPK3	0.41
2534	FYN	0.41
5606	MAP2K3	0.41
23118	MAP3K7IP2	0.41
79877	DCAKD	0.4
347736	NME9	0.4
2869	GRK5	0.39
5156	PDGFRA	0.39
10295	BCKDK	0.39
149420	PDIK1L	0.39
415116	PIM3	0.39
3815	KIT	0.38
5305	PIP4K2A	0.38
5361	PLXNA1	0.38
9863	MAGI2	0.38
4233	MET	0.37
4294	MAP3K10	0.37
5586	PKN2	0.37
154043	CNKSR3	0.37
5129	PCTK3	0.36
7297	TYK2	0.36
10110	SGK2	0.36
284086	NEK8	0.36
4216	MAP3K4	0.35
6041	RNASEL	0.35
55224	ETNK2	0.35
55577	NAGK	0.35
6795	AURKC	0.34
54861	SNRK	0.34
2444	FRK	0.33
8859	STK19	0.33
10420	TESK2	0.32
91754	NEK9	0.32
2868	GRK4	0.31
7016	TESK1	0.31
7867	MAPKAPK3	0.31
26289	AK5	0.31
57538	ALPK3	0.31
84930	MASTL	0.31
124923	FLJ25006	0.31
203447	NRK	0.31
8445	DYRK2	0.3
83983	TSSK6	0.29
4058	LTK	0.28
4920	ROR2	0.28
5365	PLXNB3	0.28
10020	GNE	0.28
79906	MORN1	0.27
85443	DCLK3	0.27
1119	CHKA	0.26
5127	PCTK1	0.26
2041	EPHA1	0.25
2050	EPHB4	0.25
11344	TWF2	0.25
6502	SKP2	0.24
55229	PANK4	0.24
140901	STK35	0.24
5581	PRKCE	0.23
9451	EIF2AK3	0.23
9706	ULK2	0.23
10922	FASTK	0.23
64398	MPP5	0.23
658	BMPR1B	0.22
5605	MAP2K2	0.22
8573	CASK	0.22
23235	SIK2	0.22
55620	STAP2	0.22
5058	PAK1	0.21
9223	MAGI1	0.21
9261	MAPKAPK2	0.21
80851	SH3BP5L	0.21
238	ALK	0.2
914	CD2	0.2
5871	MAP4K2	0.2
8567	MADD	0.2
10519	CIB1	0.2
10595	ERN2	0.2
51232	CRIM1	0.2
131890	GRK7	0.2
2044	EPHA5	0.19
3551	IKBKB	0.18
3643	INSR	0.18
4217	MAP3K5	0.18
5636	PRPSAP2	0.18
8428	STK24	0.18
9201	DCLK1	0.18
9943	OXSR1	0.18
23678	SGK3	0.18
30811	HUNK	0.18
1152	CKB	0.17
5211	PFKL	0.17
5635	PRPSAP1	0.17
6102	RP2	0.17
6416	MAP2K4	0.17
29110	TBK1	0.17
5590	PRKCZ	0.16
8394	PIP5K1A	0.16
9874	TLK1	0.16
51776	ZAK	0.16
54986	ULK4	0.16
8986	RPS6KA4	0.15
25865	PRKD2	0.15
130106	CIB4	0.15
207	AKT1	0.14
814	CAMK4	0.14
2242	FES	0.14
4356	MPP3	0.14
5230	PGK1	0.14
6098	ROS1	0.14
150094	SIK1	0.14
283284	IGSF22	0.14
285220	EPHA6	0.14
4830	NME1	0.13
51447	IP6K2	0.13
57396	CLK4	0.13
169436	C9orf96	0.13
5613	PRKX	0.12
120892	LRRK2	0.12
130399	ACVR1C	0.12
344387	CDKL4	0.12
2324	FLT4	0.11
6793	STK10	0.11
8382	NME5	0.11
55558	PLXNA3	0.11
673	BRAF	0.1
3706	ITPKA	0.1
5585	PKN1	0.1
5610	EIF2AK2	0.1
23300	ATMIN	0.1
55437	STRADB	0.1
545	ATR	0.09
1445	CSK	0.09
26576	SRPK3	0.09
5598	MAPK7	0.08
5756	TWF1	0.08
5891	MOK	0.08
8536	CAMK1	0.08
8569	MKNK1	0.08
9175	MAP3K13	0.08
9258	MFHAS1	0.08
57410	SCYL1	0.08
83931	STK40	0.08
1326	MAP3K8	0.07
2580	GAK	0.07
8444	DYRK3	0.07
9061	PAPSS1	0.07
1969	EPHA2	0.06
2264	FGFR4	0.06
4638	MYLK	0.06
5595	MAPK3	0.06
6732	SRPK1	0.06
6872	TAF1	0.06
22983	MAST1	0.06
51530	ZC3HC1	0.06
157	ADRBK2	0.05
1195	CLK1	0.05
3791	KDR	0.05
4354	MPP1	0.05
388228	SBK1	0.05
1147	CHUK	0.04
8631	SKAP1	0.04
9942	XYLB	0.04
55277	FGGY	0.04
2322	FLT3	0.03
3718	JAK3	0.03
4140	MARK3	0.03
10298	PAK4	0.03
53944	CSNK1G1	0.03
84284	NTPCR	0.03
114790	STK11IP	0.03
139728	PNCK	0.03
256356	GK5	0.03
284656	EPHA10	0.03
7525	YES1	0.02
9467	SH3BP5	0.02
10494	STK25	0.02
10746	MAP3K2	0.02
11183	MAP4K5	0.02
58538	MPP4	0.02
1608	DGKG	0.01
5166	PDK4	0.01
6011	GRK1	0.01
23178	PASK	0.01
56155	TEX14	0.01
57118	CAMK1D	0.01
57551	TAOK1	0.01
2047	EPHB1	-0
4916	NTRK3	0
5582	PRKCG	0
6787	NEK4	0
6792	CDKL5	-0
8814	CDKL1	-0
10654	PMVK	-0
10783	NEK6	0
11040	PIM2	0
11284	PNKP	-0
25989	ULK3	0
56848	SPHK2	0
57144	PAK7	0
65975	STK33	0
389840	MAP3K15	0
4921	DDR2	-0.01
7048	TGFBR2	-0.01
7786	MAP3K12	-0.01
221823	PRPS1L1	-0.01
7010	TEK	-0.02
9162	DGKI	-0.02
23552	CCRK	-0.02
26750	RPS6KC1	-0.02
79810	PTCD2	-0.02
91807	MYLK3	-0.02
2710	GK	-0.03
3098	HK1	-0.03
5286	PIK3C2A	-0.03
5589	PRKCSH	-0.03
5616	PRKY	-0.03
6196	RPS6KA2	-0.03
6733	SRPK2	-0.03
7046	TGFBR1	-0.04
