plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
1	266	3.69	L02	sample	sample	749	672	710.5	-77	1.58	2.01	3.049	4.336	1956	EGFR	s563
3	25	3.32	B01	sample	sample	618	628	623	10	1.35	2.08	2.04	4.599	2870	GRK6	s6091
3	73	3.31	D01	sample	sample	588	705	646.5	117	1.28	2.34	1.617	5.008	3932	LCK	s8107
1	293	2.93	M05	sample	sample	530	510	520	-20	1.12	1.53	2.147	3.705	6789	STK4	s13570
5	98	2.85	E02	sample	sample	728	577	652.5	-151	1.51	1.91	2.581	3.116	3645	INSRR	s7482
5	167	2.81	G23	neg	neg	676	610	643	-66	1.4	2.02	2.048	3.574	NA	NA	NA
5	41	2.68	B17	sample	sample	708	674	691	-34	1.46	2.23	2.259	3.099	3101	HK3	s6565
4	265	2.68	L01	sample	sample	692	663	677.5	-29	1.47	2.1	1.897	3.457	64799	IQCH	s34972
1	299	2.63	M11	sample	sample	670	444	557	-226	1.41	1.33	3.084	2.171	6794	STK11	s13579
3	295	2.59	M07	sample	sample	685	363	524	-322	1.5	1.2	2.885	2.303	27	ABL2	s871
3	338	2.53	O02	sample	sample	647	485	566	-162	1.41	1.61	2.023	3.028	2444	FRK	s5364
5	198	2.51	I06	sample	sample	577	566	571.5	-11	1.19	1.87	1.557	3.46	1612	DAPK1	s3931
4	216	2.51	I24	pos	pos	607	601	604	-6	1.29	1.9	1.656	3.358	NA	NA	NA
1	33	2.48	B09	sample	sample	746	718	732	-28	1.57	2.15	1.716	3.242	801	CALM1	s2340
5	296	2.47	M08	sample	sample	827	585	706	-242	1.71	1.94	2.169	2.763	2260	FGFR1	s5166
2	49	2.46	C01	sample	sample	661	602	631.5	-59	1.46	2.03	1.467	3.449	8525	DGKZ	s16203
4	99	2.45	E03	sample	sample	677	477	577	-200	1.44	1.51	2.644	2.258	8649	MAPKSP1	s225014
6	9	2.45	A09	sample	sample	644	700	672	56	1.22	1.53	1.47	3.428	7786	MAP3K12	s15346
3	316	2.44	N04	sample	sample	599	570	584.5	-29	1.31	1.89	1.176	3.701	6788	STK3	s13568
4	33	2.42	B09	sample	sample	651	679	665	28	1.39	2.15	2.059	2.79	51530	ZC3HC1	s28277
1	359	2.42	O23	neg	neg	604	557	580.5	-47	1.27	1.67	1.567	3.267	NA	NA	NA
3	256	2.41	K16	sample	sample	690	493	591.5	-197	1.51	1.64	2.067	2.759	2049	EPHB3	s4744
1	65	2.41	C17	sample	sample	610	593	601.5	-17	1.29	1.78	2.127	2.688	5597	MAPK6	s11146
3	266	2.39	L02	sample	sample	633	496	564.5	-137	1.38	1.65	1.561	3.213	6197	RPS6KA3	s12280
4	277	2.33	L13	sample	sample	645	487	566	-158	1.37	1.54	2.359	2.308	65267	WNK3	s35279
1	49	2.32	C01	sample	sample	639	668	653.5	29	1.35	2	1.656	2.985	5588	PRKCQ	s11122
1	70	2.32	C22	sample	sample	636	542	589	-94	1.34	1.62	2.064	2.567	4216	MAP3K4	s8673
1	236	2.27	J20	sample	sample	748	569	658.5	-179	1.58	1.7	2.108	2.427	8491	MAP4K3	s551
3	216	2.26	I24	pos	pos	639	521	580	-118	1.4	1.73	1.454	3.07	NA	NA	NA
2	349	2.26	O13	sample	sample	745	546	645.5	-199	1.64	1.84	2.409	2.107	10201	NME6	s19883
1	137	2.25	F17	sample	sample	685	536	610.5	-149	1.45	1.6	2.213	2.278	3718	JAK3	s7652
1	75	2.22	D03	sample	sample	559	502	530.5	-57	1.18	1.5	1.149	3.301	914	CD2	s225091
2	25	2.21	B01	sample	sample	699	590	644.5	-109	1.54	1.99	1.361	3.066	51232	CRIM1	s27727
1	9	2.19	A09	sample	sample	641	652	646.5	11	1.35	1.95	1.697	2.687	5581	PRKCE	s11101
5	374	2.16	P14	sample	sample	672	523	597.5	-149	1.39	1.73	1.637	2.673	7175	TPR	s14355
2	263	2.13	K23	neg	neg	670	518	594	-152	1.48	1.74	1.977	2.278	NA	NA	NA
2	312	2.11	M24	pos	pos	633	470	551.5	-163	1.4	1.58	2.1	2.114	NA	NA	NA
3	258	2.11	K18	sample	sample	765	390	577.5	-375	1.67	1.29	3.116	1.097	2051	EPHB6	s4747
6	238	2.1	J22	sample	sample	540	466	503	-74	1.03	1.02	0.475	3.725	340371	NRBP2	s223894
2	32	2.06	B08	sample	sample	751	509	630	-242	1.66	1.71	2.123	1.999	91754	NEK9	s40771
1	24	2.02	A24	pos	pos	555	529	542	-26	1.17	1.58	1.28	2.768	NA	NA	NA
2	378	1.99	P18	sample	sample	613	543	578	-70	1.35	1.83	1.584	2.398	340156	MYLK4	s50670
5	133	1.98	F13	sample	sample	645	544	594.5	-101	1.33	1.8	1.166	2.801	4342	MOS	s8921
1	11	1.96	A11	sample	sample	568	470	519	-98	1.2	1.41	1.478	2.439	5582	PRKCG	s11104
4	214	1.95	I22	sample	sample	643	488	565.5	-155	1.37	1.55	1.912	1.986	23654	PLXNB2	s24287
4	232	1.94	J16	sample	sample	653	528	590.5	-125	1.39	1.67	1.632	2.253	283629	TSSK4	s49317
2	265	1.94	L01	sample	sample	696	624	660	-72	1.54	2.1	1.018	2.859	64799	IQCH	s34971
4	105	1.92	E09	sample	sample	555	566	560.5	11	1.18	1.79	1.555	2.281	8780	RIOK3	s16727
4	73	1.91	D01	sample	sample	718	499	608.5	-219	1.53	1.58	2.127	1.689	55359	STYK1	s30823
5	262	1.91	K22	sample	sample	664	548	606	-116	1.37	1.81	1.032	2.781	2066	ERBB4	s4783
1	216	1.9	I24	pos	pos	696	467	581.5	-229	1.47	1.4	2.164	1.639	NA	NA	NA
1	349	1.89	O13	sample	sample	497	447	472	-50	1.05	1.34	1.289	2.493	7175	TPR	s14353
5	51	1.89	C03	sample	sample	648	494	571	-154	1.34	1.64	1.577	2.197	1436	CSF1R	s3596
3	105	1.88	E09	sample	sample	504	579	541.5	75	1.1	1.92	0.611	3.147	10769	PLK2	s65
1	263	1.88	K23	neg	neg	659	477	568	-182	1.39	1.43	2.062	1.694	NA	NA	NA
4	188	1.87	H20	sample	sample	609	449	529	-160	1.3	1.42	1.625	2.117	203447	NRK	s47518
5	119	1.87	E23	neg	neg	640	421	530.5	-219	1.32	1.39	1.886	1.854	NA	NA	NA
1	167	1.86	G23	neg	neg	545	462	503.5	-83	1.15	1.38	1.643	2.084	NA	NA	NA
5	315	1.85	N03	sample	sample	669	500	584.5	-169	1.38	1.66	1.587	2.113	5260	PHKG1	s224258
