GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID	Flag
1111	3	I13	6.17	1	14	1.1579288495528643e-5	1	3	3	100	1111	CHEK1	s503	TRUE
1111	5	I13	5.57	2	22	1.1579288495528643e-5	1	3	3	100	1111	CHEK1	s504	TRUE
1111	1	J14	4.17	3	52	1.1579288495528643e-5	1	3	3	100	1111	CHEK1	s502	TRUE
7465	5	E01	4.39	5	44	5.092633954298169e-4	1	3	3	100	7465	WEE1	s23	TRUE
7465	3	E01	2.43	6	101	5.092633954298169e-4	1	3	3	100	7465	WEE1	s22	TRUE
7465	1	F02	1.66	7	180	5.092633954298169e-4	1	3	3	100	7465	WEE1	s21	TRUE
58496	2	J05	2.75	16	90	0.0026777308986295234	1	3	3	100	58496	LY6G5B	s33861	TRUE
58496	4	J05	1.95	17	137	0.0026777308986295234	1	3	3	100	58496	LY6G5B	s33862	TRUE
58496	6	J05	1.11	18	314	0.0026777308986295234	1	3	3	100	58496	LY6G5B	s33863	TRUE
9088	2	L18	3.35	25	70	0.0042073344748503275	1	3	3	100	9088	PKMYT1	s225077	TRUE
9088	4	L18	2.89	26	86	0.0042073344748503275	1	3	3	100	9088	PKMYT1	s194985	TRUE
91584	2	P04	2.68	42	91	0.006728190116051891	1	2	3	67	91584	PLXNA4	s40696	TRUE
91584	4	P04	2.28	43	109	0.006728190116051891	1	2	3	67	91584	PLXNA4	s40697	TRUE
1606	5	G20	3.34	77	71	0.014488969833063881	1	2	3	67	1606	DGKA	s3913	TRUE
1606	3	G20	1.78	78	161	0.014488969833063881	1	2	3	67	1606	DGKA	s3912	TRUE
55450	6	F03	1.69	96	169	0.01880389476022707	1	2	3	67	55450	CAMK2N1	s30878	TRUE
55450	4	F03	1.63	97	184	0.01880389476022707	1	2	3	67	55450	CAMK2N1	s30877	TRUE
11252	6	C12	2.95	109	84	0.02168725653219692	1	2	3	67	11252	PACSIN2	s22216	TRUE
11252	2	C12	1.55	110	196	0.02168725653219692	1	2	3	67	11252	PACSIN2	s22214	TRUE
91584	6	P04	-1.73	1103	1103	0.006728190116051891	0	2	3	67	91584	PLXNA4	s40698	TRUE
55450	2	F03	-1.13	1103	1103	0.01880389476022707	0	2	3	67	55450	CAMK2N1	s30876	TRUE
1606	1	H19	-0.34	1103	1103	0.014488969833063881	0	2	3	67	1606	DGKA	s3911	TRUE
11252	4	C12	-0.32	1103	1103	0.02168725653219692	0	2	3	67	11252	PACSIN2	s22215	TRUE
9088	6	L18	0.7	1103	1103	0.0042073344748503275	0	3	3	100	9088	PKMYT1	s194986	TRUE
