Lot Number,Plate ID,Plate Name
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TP,Hm Kinase siRNA Lib V4-B2-2
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TQ,Hm Kinase siRNA Lib V4-B2-3
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TR,Hm Kinase siRNA Lib V4-B2-4
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TS,Hm Kinase siRNA Lib V4-B3-1
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TT,Hm Kinase siRNA Lib V4-C1-1
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TU,Hm Kinase siRNA Lib V4-C1-2
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TV,Hm Kinase siRNA Lib V4-C1-3
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TW,Hm Kinase siRNA Lib V4-C1-4
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TX,Hm Kinase siRNA Lib V4-C2-1
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TY,Hm Kinase siRNA Lib V4-C2-2
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208TZ,Hm Kinase siRNA Lib V4-C2-3
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208U0,Hm Kinase siRNA Lib V4-C2-4
4397918-AMO217T1-Si Sel Hm Kinase-02,CPF208U1,Hm Kinase siRNA Lib V4-C3-1
